plan,year,n_active_boy,n_retired_boy,n_inactive_boy,payroll_fy,benefits_fy,aal_boy,er_db_cont_fy,er_dc_cont_fy,er_cont_fy,ee_cont_fy,refunds_fy,admin_exp_fy,mva_boy,invest_income_fy,ava_boy,fr_mva_boy,fr_ava_boy
txtrs,2039,970081.9999999993,,,94257487765.5572,26407660623.2138,454755890582.27124,9016671279.653202,0.0,9016671279.653202,7776242740.65847,1227882945.7021766,131960482.8717801,390456533012.7654,25908938733.01514,390442304779.74133,0.8586068726076825,0.8585755849799273
txtrs,2040,970081.9999999993,,,96990954910.75836,27353919782.00157,469194410847.9414,9278154746.763147,0.0,9278154746.763147,8001753780.137566,1212894552.2851872,135787336.87506172,405972764659.329,26938924790.824703,405957874298.946,0.8652549034538658,0.8652231674398837
txtrs,2041,970081.9999999993,,,99803692603.17035,28234546445.69207,484016549509.3624,9547221234.419277,0.0,9547221234.419277,8233804639.761555,1282054992.002368,139725169.6444385,422106951590.74805,28009487664.577114,422091426728.282,0.872091981190786,0.8720599061254152
txtrs,2042,970081.9999999993,,,102697999688.66228,29122019447.597088,499382267877.4851,9824090650.217434,0.0,9824090650.217434,8472584974.314638,1217880283.2130084,143777199.56412718,439048106027.8873,29128155742.981434,439032030777.9404,0.8791824104887926,0.8791502202189715
txtrs,2043,970081.9999999991,,,105676241679.63347,29973135833.768284,515242766147.6391,10108989279.07374,0.0,10108989279.07374,8718289938.569763,1284700041.5728717,147946738.3514869,456770168364.5558,30300565732.717598,456753550517.25037,0.8865144711874937,0.8864822187263294
txtrs,2044,970081.9999999993,,,108740852688.34283,30498924054.48375,531965440548.3251,10402149968.166876,0.0,10402149968.166876,8971120346.788282,1356449994.0829587,152237193.76367992,475675016273.2705,31539188836.089954,475658025004.1793,0.8941840578646744,0.894152117314037
txtrs,2045,970081.9999999992,,,111894337416.30476,31574920094.04624,549177643637.9708,10703812317.243715,0.0,10703812317.243715,9231282836.845144,1315064280.5468736,156652072.3828267,495409583639.25415,32846108658.870728,495392148954.3959,0.9020935017628618,0.9020617548680997
txtrs,2046,970081.9999999993,,,115139273201.3776,32464040632.98454,567018835465.0363,11014222874.443783,0.0,11014222874.443783,9498990039.113653,1380559894.843887,161194982.48192865,516131418531.3164,34214417488.815174,516113510924.34296,0.9102544505563296,0.9102228685243874
txtrs,2047,970081.999999999,,,118478312124.21753,33341361884.717567,585650216327.8059,11333635337.802649,0.0,11333635337.802649,9774460750.247946,1350829865.4046688,165869636.97390452,538037543128.3706,35656089896.099754,538019195535.14465,0.9187011771326913,0.9186698485465926
txtrs,2048,970081.9999999991,,,121914183175.81982,34268556388.899357,604985244939.8062,11662310762.598923,0.0,11662310762.598923,10057920112.005133,1417291699.0038733,170679856.44614768,561077471756.2327,37176225697.60738,561058640928.1212,0.9274233982550398,0.9273922721601987
txtrs,2049,970081.9999999991,,,125449694487.9186,34822660546.06723,625457155794.8596,12000517774.714294,0.0,12000517774.714294,10349599795.253284,1490407846.2093756,175629572.28308603,585727833498.458,38788942136.81745,585708693328.0535,0.9364795463153479,0.93644894442643
txtrs,2050,970081.999999999,,,129087735628.06822,36237374657.994095,646400130222.0654,12348532790.181007,0.0,12348532790.181007,10649738189.315628,1439735103.805034,180722829.8792955,611357931792.1116,40489659905.83535,611338270870.8696,0.9457886890927522,0.9457582730697307
txtrs,2051,970081.9999999988,,,132831279961.2822,37442723002.23117,667999634274.1409,12706640241.096256,0.0,12706640241.096256,10958580596.80578,1499521583.9670615,185963791.94579506,638157948332.8123,42263004080.94267,638137637452.3397,0.955326792994797,0.9552963874684607
txtrs,2052,970081.9999999988,,,136683387080.15936,38563707794.091515,690417916529.3246,13075132808.088047,0.0,13075132808.088047,11276379434.113148,1534531557.5591729,191356741.9122231,666342522585.8076,44122658104.357086,666321527712.6296,0.9651292451033976,0.9650988361689314
txtrs,2053,970081.9999999986,,,140647205305.48398,39800423897.22977,713580732322.6721,13454311659.5226,0.0,13454311659.5226,11603394437.70243,1587678084.2536488,196906087.42767757,695890525073.6036,46075304459.482086,695868769672.8077,0.9752092419991671,0.9751787543475106
txtrs,2054,970081.9999999985,,,144725974259.343,40646379299.91422,737950195005.1677,13844486697.64875,0.0,13844486697.64875,11939892876.395796,1648531243.3725216,202616363.96308017,727314647798.7838,48137270058.38545,727292314371.4843,0.9855877167885165,0.9855574526494856
