age,male_improvement,female_improvement,ref_2021_male_qx,ref_2021_female_qx,ref_2021_male_qx_smoothed,ref_2021_female_qx_smoothed,estimated_2021_male_qx,estimated_2021_female_qx
72,0.0121,0.0121,0.013749768350746998,0.008860378714571697,0.013460989171560144,0.008621917580995312,0.016275654117361146,0.010389587724952081
73,0.012,0.012,0.015568907813129735,0.010096147755083568,0.015191249399900263,0.009778298172643795,0.018261083925243574,0.011718184859942748
74,0.0118,0.0118,0.017657179071766334,0.011531577187028312,0.017210823014486242,0.011160219111485419,0.020604703866044925,0.01333027745859756
75,0.0117,0.0117,0.020013842085175187,0.013169775805828622,0.019553768212346626,0.012796722937557797,0.023348274058220115,0.015260735290079246
76,0.0116,0.0116,0.022683572097527985,0.01504908563740612,0.022254047963365647,0.014716616693947662,0.026533138518330928,0.017543238525727808
77,0.0114,0.0114,0.025704797507884635,0.01721586746670051,0.025343486630727323,0.016945989001115647,0.03019706677373827,0.020206110738424408
78,0.0113,0.0113,0.029078051048501564,0.01966188095176373,0.02884905191114033,0.019504829444453427,0.034370040486566326,0.023266708747350658
79,0.0111,0.0111,0.03290175663512941,0.02247402247576985,0.03278941137388163,0.02240269436573021,0.03906891350603931,0.026724344078057162
80,0.011,0.011,0.037170777200474424,0.025633492138011776,0.03717077720047442,0.025633492138011773,0.044291000000000004,0.030552000000000003
81,0.0105,0.0105,0.04216824026079888,0.02936462339107152,0.04213594038316963,0.02930583535063844,0.050249437374194704,0.03489377100310183
82,0.0101,0.0101,0.04780268339301526,0.03359155824586817,0.0478845938747556,0.03359048780274617,0.05724520057307777,0.03998763214706453
83,0.0096,0.0096,0.05426530574414718,0.03846415523164029,0.05449391206220399,0.03856048466178607,0.06538510307815092,0.04592314325743371
84,0.0091,0.0091,0.06158503951737675,0.044031946756256594,0.06203349036335467,0.04428745422936504,0.0747635802808765,0.05278667121612776
85,0.0087,0.0087,0.06977083701361503,0.050313847964902174,0.07055820019457656,0.050836904778601956,0.08545010652936244,0.060654400267244085
86,0.0082,0.0082,0.07904638883683865,0.05749907762051067,0.08009931614149414,0.05826204546597723,0.09747338745771301,0.06958318973310575
87,0.0077,0.0077,0.08939631729448962,0.06562587969476301,0.09065403768048826,0.06659608364864512,0.11080264713410964,0.079599245693937
88,0.0073,0.0073,0.10079052011380904,0.07474643422993875,0.1021737934814913,0.07584310060179336,0.12532696774612345,0.09068485978035512
89,0.0068,0.0068,0.11354022603818735,0.08513429645824376,0.1145520586392122,0.08596783457473395,0.14083446252721094,0.10276386963845445
90,0.0063,0.0063,0.12761281399098126,0.09688499167473182,0.1276128139909813,0.0968849916747318,0.15699399999999997,0.11568700000000003
91,0.0059,0.0059,0.1428146530210668,0.10986102917412466,0.14167132411641248,0.10887990716189483,0.17500734375604282,0.12991759593363603
92,0.0054,0.0054,0.15936942509586463,0.12425444742324936,0.1572058507025265,0.12236447946804202,0.1963280938460322,0.1460961825426469
93,0.0049,0.0049,0.1770503599626193,0.1399027539366438,0.1741900439509554,0.13736966005053225,0.22074860218375464,0.16422028986080967
94,0.0045,0.0045,0.19550598349560167,0.15656655860078533,0.19253718203058404,0.15387410957402933,0.2477645606802051,0.1841880254271913
95,0.004,0.004,0.21503728813049738,0.1744755890077644,0.21208567689117666,0.1717872773634149,0.2764664907742125,0.20576531954813657
96,0.0038,0.0038,0.23451983422182393,0.19275602812752654,0.23258532060628703,0.19093194500845667,0.30545291863482316,0.22855396122193372
97,0.0036,0.0036,0.25444297924008247,0.2118083544796003,0.2536858728285909,0.21102785987656475,0.33279814821478165,0.251965274499074
98,0.0034,0.0034,0.2746744839354151,0.23151217637072877,0.2749299622223302,0.23167865966419215,0.35611374981766747,0.2752057931190111
99,0.0032,0.0032,0.2950616200452104,0.251765321471588,0.29575252177446937,0.25236478338638724,0.37273843727958544,0.29728224509358897
100,0.003,0.003,0.31548900049893647,0.27244534496764855,0.31548900049893647,0.27244534496764855,0.38007,0.31703299999999995
101,0.0028,0.0028,0.3358402148863527,0.29345779257233695,0.3337609638233597,0.2915405475023249,0.38173212195295525,0.3342686333903601
102,0.0026,0.0026,0.3560561304506718,0.314678210050591,0.3507931276244653,0.3098239120307645,0.38295021799558815,0.34978277612655456
103,0.0024,0.0024,0.3759699651426351,0.33594207796161163,0.3668456349385203,0.32748274343653816,0.38383308396486654,0.3638974938180664
104,0.0022,0.0022,0.3954232303027041,0.3570541367422793,0.382282929504842,0.3448105523679783,0.3844916654774977,0.377054188470006
105,0.002,0.002,0.4142951775835368,0.377836967183701,0.3975650990254748,0.3622033321404388,0.3850382421327482,0.38979722745486
106,0.0018,0.0018,0.4324738123997455,0.39812139386895623,0.4132433965139683,0.38015895271787026,0.3855859346833928,0.40276359090034003
107,0.0016,0.0016,0.44986582223589117,0.417766236309087,0.4299623651353266,0.39928226002768025,0.3862485422040598,0.41668163124214225
108,0.0014,0.0014,0.4663967885460253,0.4366290854007117,0.44847097526258306,0.4202985987995163,0.38714071359649893,0.43238180576101737
109,0.0012,0.0012,0.4820212687285044,0.4546255100324717,0.46964547542882346,0.4440788881972611,0.38837845781212116,0.45082249768233257
110,0.001,0.001,0.4945274176647692,0.47168025096865684,0.4945274176647692,0.47168025096865684,0.39008,0.473135
111,0.0008,0.0008,0.4956175578275082,0.4877372386580508,0.5233657601591403,0.5032322549764121,0.3971116302206108,0.49984029017322923
112,0.0006,0.0006,0.4967098822013658,0.4967098822013658,0.5558291974052849,0.5382724130408125,0.4140400139010633,0.5308442532814325
113,0.0004,0.0004,0.4978043947242219,0.4978043947242219,0.5922775535080523,0.5771750204842794,0.44097527452165286,0.5665722556165286
114,0.0002,0.0002,0.49890109934026405,0.49890109934026405,0.6331167582482353,0.6203596747864965,0.47851968914246407,0.6075170317336237
115,0.0,0.0,0.5,0.5,0.6788029367405867,0.6682963608710469,0.5276797931098611,0.6542432182528214
116,0.0,0.0,0.5,0.5,0.7298468431826077,0.7215110933793288,0.5897903000867131,0.7073921984735225
117,0.0,0.0,0.5,0.5,0.7868186097845135,0.7805921607975248,0.6664272227415785,0.7676870488430598
118,0.0,0.0,0.5,0.5,0.850352769939596,0.846197017398182,0.7592891696719634,0.8359373323837505
119,0.0,0.0,0.5,0.5,0.9211534993672544,0.9190598692680824,0.8700265084195581,0.9130434261581503
120,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
