lookup_type,age,lookup_value,term_rate
yos,19,28,0.0065
yos,19,29,0.005
yos,19,30,0.005
yos,19,31,0.005
yos,19,32,0.005
yos,19,33,0.005
yos,19,34,0.005
yos,19,35,0.005
yos,19,36,0.005
yos,19,37,0.005
yos,19,38,0.005
yos,19,39,0.005
yos,19,40,0.005
yos,19,41,0.005
yos,19,42,0.005
yos,19,43,0.005
yos,19,44,0.005
yos,19,45,0.005
yos,19,46,0.005
yos,19,47,0.005
yos,19,48,0.005
yos,19,49,0.005
yos,19,50,0.005
yos,19,51,0.005
yos,19,52,0.005
yos,19,53,0.005
yos,19,54,0.005
yos,19,55,0.005
yos,19,56,0.005
yos,19,57,0.005
yos,19,58,0.005
yos,19,59,0.005
yos,19,60,0.005
yos,19,61,0.005
yos,19,62,0.005
yos,19,63,0.005
yos,19,64,0.005
yos,19,65,0.005
yos,19,66,0.005
yos,19,67,0.005
yos,19,68,0.005
yos,19,69,0.005
yos,19,70,0.005
yos,20,0,0.275
yos,20,1,0.185
yos,20,2,0.1674999999999999
yos,20,3,0.16
yos,20,4,0.1575
yos,20,5,0.1175
yos,20,6,0.1124999999999999
yos,20,7,0.0775
yos,20,8,0.0574999999999999
yos,20,9,0.05
yos,20,10,0.0424999999999999
yos,20,11,0.0375
yos,20,12,0.0325
yos,20,13,0.0325
yos,20,14,0.0275
yos,20,15,0.0275
yos,20,16,0.025
yos,20,17,0.0225
yos,20,18,0.02
yos,20,19,0.02
yos,20,20,0.0175
yos,20,21,0.0139999999999999
yos,20,22,0.0139999999999999
yos,20,23,0.0115
yos,20,24,0.0115
yos,20,25,0.01
yos,20,26,0.01
yos,20,27,0.009
yos,20,28,0.0065
yos,20,29,0.005
yos,20,30,0.005
yos,20,31,0.005
yos,20,32,0.005
yos,20,33,0.005
yos,20,34,0.005
yos,20,35,0.005
yos,20,36,0.005
yos,20,37,0.005
yos,20,38,0.005
yos,20,39,0.005
yos,20,40,0.005
yos,20,41,0.005
yos,20,42,0.005
yos,20,43,0.005
yos,20,44,0.005
