class_name,year_offset,payment
admin,16,-144781.91551112937
admin,17,-149487.32776524106
admin,18,-154345.66591761139
admin,19,-159361.90005993375
admin,20,-164541.16181188158
admin,21,-169888.74957076772
admin,22,-175410.13393181766
admin,23,-181110.96328460172
admin,24,-186997.06959135126
admin,25,-193074.47435307017
admin,26,-199349.39476954495
admin,27,-205828.25009955515
admin,28,-212517.66822779068
admin,29,-219424.49244519387
admin,30,-226555.78844966268
admin,31,-233918.85157427672
admin,32,-241521.21425044071
admin,33,-249370.65371358002
admin,34,-257475.19995927135
admin,35,-265843.14395794767
admin,36,-274483.04613658099
admin,37,-283403.74513601989
admin,38,-292614.36685294053
admin,39,-302124.33377566107
admin,40,-311943.37462337007
admin,41,-322081.53429862956
admin,42,-332549.18416333501
admin,43,-343357.03264864336
admin,44,-354516.13620972424
admin,45,-366037.91063654027
admin,46,-377934.1427322278
admin,47,-390217.00237102521
admin,48,-402899.05494808353
admin,49,-415993.27423389623
admin,50,-429513.05564649781
eco,1,1180585.1887847732
eco,2,1218954.2074202783
eco,3,1258570.2191614374
eco,4,1299473.7512841839
eco,5,1341706.6482009199
eco,6,1385312.1142674498
eco,7,1430334.7579811418
eco,8,1476820.6376155289
eco,9,1524817.3083380335
eco,10,1574373.8708590195
eco,11,1625541.0216619375
eco,12,1678371.1048659503
eco,13,1732918.1657740937
eco,14,1789238.0061617517
eco,15,1847388.2413620085
eco,16,1907428.3592062737
eco,17,1969419.7808804775
eco,18,2033425.923759093
eco,19,2099512.2662812634
eco,20,2167746.4149354044
eco,21,2238198.173420805
eco,22,2310939.6140569812
eco,23,2386045.1515138331
eco,24,2463591.6189380325
eco,25,2543658.3465535184
eco,26,2626327.2428165078
eco,27,2711682.8782080445
eco,28,2799812.5717498059
eco,29,2890806.4803316747
eco,30,2984757.6909424542
eco,31,3081762.3158980836
eco,32,3181919.5911647715
eco,33,3285331.9778776267
eco,34,3392105.2671586494
eco,35,3502348.6883413056
eco,36,3616175.020712398
eco,37,3733700.708885551
eco,38,3855045.9819243313
eco,39,3980334.9763368717
eco,40,4109695.8630678197
eco,41,4243260.9786175238
eco,42,4381166.9604225932
eco,43,4523554.886636327
eco,44,4670570.4204520071
eco,45,4822363.9591166973
eco,46,4979090.7877879897
eco,47,5140911.2383910995
eco,48,5307990.8536388101
eco,49,5480500.5563820712
eco,50,5658616.8244644888
eso,1,1324328.520692759
eso,2,1367369.1976152735
eso,3,1411808.6965377699
eso,4,1457692.4791752473
eso,5,1505067.4847484427
eso,6,1553982.178002767
eso,7,1604486.598787857
eso,8,1656632.4132484624
eso,9,1710472.9666790373
eso,10,1766063.338096106
eso,11,1823460.3965842293
eso,12,1882722.8594732168
eso,13,1943911.3524060964
eso,14,2007088.4713592946
eso,15,2072318.8466784717
eso,16,2139669.2091955221
eso,17,2209208.4584943764
eso,18,2281007.7333954438
eso,19,2355140.4847307955
eso,20,2431682.5504845465
eso,21,2510712.2333752941
eso,22,2592310.3809599909
eso,23,2676560.4683411904
eso,24,2763548.6835622792
eso,25,2853364.0157780531
eso,26,2946098.3462908398
eso,27,3041846.5425452921
eso,28,3140706.5551780141
eso,29,3242779.5182212996
eso,30,3348169.8525634916
