age,gender,member_type,table,qx
56,male,employee,txtrs_av_av_first,0.00252
57,male,employee,txtrs_av_av_first,0.00274
58,male,employee,txtrs_av_av_first,0.00298
59,male,employee,txtrs_av_av_first,0.00325
60,male,employee,txtrs_av_av_first,0.00357
61,male,employee,txtrs_av_av_first,0.00392
62,male,employee,txtrs_av_av_first,0.00433
63,male,employee,txtrs_av_av_first,0.00478
64,male,employee,txtrs_av_av_first,0.00529
65,male,employee,txtrs_av_av_first,0.00586
66,male,employee,txtrs_av_av_first,0.00649
67,male,employee,txtrs_av_av_first,0.00718
68,male,employee,txtrs_av_av_first,0.00793
69,male,employee,txtrs_av_av_first,0.00873
70,male,employee,txtrs_av_av_first,0.00957
71,male,employee,txtrs_av_av_first,0.01045
72,male,employee,txtrs_av_av_first,0.01138
73,male,employee,txtrs_av_av_first,0.01236
74,male,employee,txtrs_av_av_first,0.01341
75,male,employee,txtrs_av_av_first,0.01453
76,male,employee,txtrs_av_av_first,0.01665
77,male,employee,txtrs_av_av_first,0.01909
78,male,employee,txtrs_av_av_first,0.02188
79,male,employee,txtrs_av_av_first,0.02508
80,male,employee,txtrs_av_av_first,0.02874
81,male,employee,txtrs_av_av_first,0.05643615525152045
82,male,employee,txtrs_av_av_first,0.06400803790604949
83,male,employee,txtrs_av_av_first,0.07270459579343938
84,male,employee,txtrs_av_av_first,0.08267267273070608
85,male,employee,txtrs_av_av_first,0.09407114725081406
86,male,employee,txtrs_av_av_first,0.1067138812375359
87,male,employee,txtrs_av_av_first,0.12063608403505945
88,male,employee,txtrs_av_av_first,0.13584582370250198
89,male,employee,txtrs_av_av_first,0.1518116571558353
90,male,employee,txtrs_av_av_first,0.16829641576211782
91,male,employee,txtrs_av_av_first,0.1867778884801214
92,male,employee,txtrs_av_av_first,0.20837683924680267
93,male,employee,txtrs_av_av_first,0.23300432026689988
94,male,employee,txtrs_av_av_first,0.2603666040374325
95,male,employee,txtrs_av_av_first,0.2889280971306912
96,male,employee,txtrs_av_av_first,0.318516817564741
97,male,employee,txtrs_av_av_first,0.3462661144021932
98,male,employee,txtrs_av_av_first,0.3697081557888122
99,male,employee,txtrs_av_av_first,0.3861142744930665
100,male,employee,txtrs_av_av_first,0.39284103757657884
101,male,employee,txtrs_av_av_first,0.3936894150820125
102,male,employee,txtrs_av_av_first,0.3940753939441649
103,male,employee,txtrs_av_av_first,0.3941137257535522
104,male,employee,txtrs_av_av_first,0.39392036577871903
105,male,employee,txtrs_av_av_first,0.39361162072706113
106,male,employee,txtrs_av_av_first,0.3933036370989874
107,male,employee,txtrs_av_av_first,0.39311223211977886
108,male,employee,txtrs_av_av_first,0.39315306642543646
109,male,employee,txtrs_av_av_first,0.3935421576926707
110,male,employee,txtrs_av_av_first,0.3943967372345246
111,male,employee,txtrs_av_av_first,0.4006230448748742
112,male,employee,txtrs_av_av_first,0.4167825412150868
113,male,employee,txtrs_av_av_first,0.4429202305113721
114,male,employee,txtrs_av_av_first,0.47957369684617657
115,male,employee,txtrs_av_av_first,0.5276797931098611
116,male,employee,txtrs_av_av_first,0.5897903000867131
117,male,employee,txtrs_av_av_first,0.6664272227415785
118,male,employee,txtrs_av_av_first,0.7592891696719634
119,male,employee,txtrs_av_av_first,0.8700265084195581
120,male,employee,txtrs_av_av_first,1.0
18,female,retiree,txtrs_av_av_first,0.00013
19,female,retiree,txtrs_av_av_first,0.00014
20,female,retiree,txtrs_av_av_first,0.00012999999999998364
21,female,retiree,txtrs_av_av_first,0.00013047720693456694
22,female,retiree,txtrs_av_av_first,0.00013186183257267187
23,female,retiree,txtrs_av_av_first,0.00013409499155715636
24,female,retiree,txtrs_av_av_first,0.00013712948328231534
25,female,retiree,txtrs_av_av_first,0.00014092556727872584
26,female,retiree,txtrs_av_av_first,0.00014544716194917314
27,female,retiree,txtrs_av_av_first,0.0001506582978974615
28,female,retiree,txtrs_av_av_first,0.0001565197136747538
29,female,retiree,txtrs_av_av_first,0.00016298553177246784
