plan,year,n_active_boy,n_retired_boy,n_inactive_boy,payroll_fy,benefits_fy,aal_boy,er_db_cont_fy,er_dc_cont_fy,er_cont_fy,ee_cont_fy,refunds_fy,admin_exp_fy,mva_boy,invest_income_fy,ava_boy,fr_mva_boy,fr_ava_boy
txtrs,2035,970082.0,,,84072577323.5597,22721185853.213825,400375084465.838,8042382746.77172,0.0,8042382746.77172,6935987629.19367,1091411101.291844,117701608.2529836,333785831486.612,22134228826.78328,333775671420.878,0.833682825023774,0.833657448655144
txtrs,2036,970082.0,,,86510682065.9429,23679065407.45682,413556715072.993,8275611846.4281,0.0,8275611846.4281,7137131270.44029,1159364118.414586,121114954.89232,347275551572.276,23036521449.55929,347263882733.292,0.839728963199115,0.839700747386003
txtrs,2037,970081.999999999,,,89019491845.8552,24647347344.654827,427051175522.554,8515604589.97451,0.0,8515604589.97451,7344108077.283051,1086583863.9277492,124627288.5841973,361241953632.372,23965247890.005188,361229352432.653,0.845898511320908,0.845869003850982
txtrs,2038,970082.0,,,91601057109.385,25679144333.831482,440682008778.397,8762557123.08377,0.0,8762557123.08377,7557087211.52426,1152842908.124582,128241479.953139,375522184311.226,24920815066.155125,375508688653.214,0.852138677846644,0.852108053365173
txtrs,2039,970081.999999999,,,94257487765.5572,26407660623.213795,454755890582.272,9016671279.6532,0.0,9016671279.6532,7776242740.65847,1227882945.702177,131960482.8717801,390456533012.765,25908938733.01505,390442304779.741,0.858606872607681,0.858575584979926
txtrs,2040,970081.999999999,,,96990954910.7584,27353919782.00156,469194410847.942,9278154746.76315,0.0,9278154746.76315,8001753780.137569,1212894552.285188,135787336.8750617,405972764659.329,26938924790.825073,405957874298.946,0.865254903453864,0.865223167439882
txtrs,2041,970081.999999999,,,99803692603.1703,28234546445.69211,484016549509.363,9547221234.41928,0.0,9547221234.41928,8233804639.76156,1282054992.002367,139725169.6444385,422106951590.748,28009487664.577095,422091426728.282,0.872091981190785,0.872059906125414
txtrs,2042,970081.999999998,,,102697999688.662,29122019447.597057,499382267877.486,9824090650.21744,0.0,9824090650.21744,8472584974.31464,1217880283.213008,143777199.5641272,439048106027.887,29128155742.981194,439032030777.94,0.879182410488791,0.87915022021897
txtrs,2043,970081.999999999,,,105676241679.633,29973135833.768322,515242766147.64,10108989279.0737,0.0,10108989279.0737,8718289938.56976,1284700041.57287,147946738.3514869,456770168364.556,30300565732.71821,456753550517.25,0.886514471187492,0.886482218726328
txtrs,2044,970081.999999999,,,108740852688.343,30498924054.48375,531965440548.326,10402149968.1669,0.0,10402149968.1669,8971120346.78829,1356449994.082956,152237193.7636804,475675016273.27,31539188836.08919,475658025004.179,0.894184057864673,0.894152117314035
txtrs,2045,970081.999999999,,,111894337416.305,31574920094.0462,549177643637.972,10703812317.2437,0.0,10703812317.2437,9231282836.84514,1315064280.5468721,156652072.3828263,495409583639.254,32846108658.87111,495392148954.396,0.90209350176286,0.902061754868098
txtrs,2046,970081.999999999,,,115139273201.378,32464040632.984528,567018835465.037,11014222874.4438,0.0,11014222874.4438,9498990039.113651,1380559894.8438861,161194982.4819282,516131418531.316,34214417488.81485,516113510924.343,0.910254450556328,0.910222868524385
txtrs,2047,970081.999999999,,,118478312124.218,33341361884.71757,585650216327.807,11333635337.8026,0.0,11333635337.8026,9774460750.24795,1350829865.404665,165869636.9739044,538037543128.371,35656089896.100494,538019195535.145,0.918701177132689,0.918669848546591
txtrs,2048,970081.999999999,,,121914183175.82,34268556388.899372,604985244939.807,11662310762.5989,0.0,11662310762.5989,10057920112.00514,1417291699.003877,170679856.4461477,561077471756.233,37176225697.60746,561058640928.121,0.927423398255038,0.927392272160197
txtrs,2049,970081.999999999,,,125449694487.919,34822660546.06723,625457155794.861,12000517774.7143,0.0,12000517774.7143,10349599795.25329,1490407846.209371,175629572.2830863,585727833498.458,38788942136.81708,585708693328.053,0.936479546315346,0.936448944426428
txtrs,2050,970081.999999998,,,129087735628.068,36237374657.99407,646400130222.067,12348532790.181,0.0,12348532790.181,10649738189.31563,1439735103.8050315,180722829.8792954,611357931792.111,40489659905.834755,611338270870.869,0.94578868909275,0.945758273069728
txtrs,2051,970081.999999999,,,132831279961.282,37442723002.23119,667999634274.142,12706640241.0963,0.0,12706640241.0963,10958580596.80578,1499521583.9670603,185963791.9457948,638157948332.812,42263004080.94305,638137637452.34,0.955326792994795,0.955296387468458
txtrs,2052,970082.0,,,136683387080.159,38563707794.09152,690417916529.326,13075132808.088,0.0,13075132808.088,11276379434.11315,1534531557.55917,191356741.9122233,666342522585.808,44122658104.357666,666321527712.63,0.965129245103395,0.965098836168929
txtrs,2053,970081.999999999,,,140647205305.484,39800423897.229744,713580732322.674,13454311659.5226,0.0,13454311659.5226,11603394437.702421,1587678084.25365,196906087.42767748,695890525073.604,46075304459.482025,695868769672.808,0.975209241999165,0.975178754347508
txtrs,2054,970081.999999999,,,144725974259.343,40646379299.91427,737950195005.17,13844486697.6488,0.0,13844486697.6488,11939892876.39583,1648531243.37252,202616363.9630802,727314647798.784,48137270058.38535,727292314371.484,0.985587716788514,0.985557452649483
