plan,year,n_active_boy,n_retired_boy,n_inactive_boy,payroll_fy,benefits_fy,aal_boy,er_db_cont_fy,er_dc_cont_fy,er_cont_fy,ee_cont_fy,refunds_fy,admin_exp_fy,mva_boy,invest_income_fy,ava_boy,fr_mva_boy,fr_ava_boy
frs,2038,618430.1629801203,,,63417200117.846756,19476196881.095543,274061070728.5104,7238012452.062505,2230799768.541274,9468812220.603779,969069717.7775536,53783980.17331391,0.0,261092180464.1714,16755991030.25156,260981174545.55847,0.9526788309267528,0.9522737901147985
frs,2039,618430.1629801202,,,65478259121.67677,19605668185.131863,275728564630.72363,7396916820.802521,2376576420.016915,9773493240.819439,969709352.1173893,55016014.24466265,0.0,266919081154.1755,17120958716.46073,266819419646.6495,0.9680501601698523,0.9676887122812033
frs,2040,618430.1629801202,,,67606302543.13126,19727138825.221714,277429317716.5764,7588164317.654767,2499379234.6629353,10087543552.317701,982449031.4930079,56543863.25367416,0.0,273220042015.27737,17514030200.42948,273130099283.6795,0.9848275743315663,0.9845033738024436
frs,2041,618430.1629801202,,,69803507375.78304,20141108474.43076,278877935054.1502,5021740104.377637,2618613664.2718244,7640353768.649461,998780406.1290556,56858545.996838264,0.0,276881093340.1753,17838497834.818825,276798158642.1813,0.9928397285587073,0.9925423414671903
frs,2042,618430.1629801202,,,72072121365.49597,20282849682.255287,280280922356.53955,5119406267.592825,2780289998.356839,7899696265.949662,999873000.1182642,59519990.855927125,0.0,280740286926.11884,18082283991.343674,280663314455.0049,1.0016389434061979,1.0013643172544542
frs,2043,618430.1629801202,,,74414465309.8746,20329759314.89969,281781985191.73785,2967244399.014396,2920664395.89716,5887908794.911557,1010931420.7041385,61806809.094329655,0.0,282595561043.3921,18268664421.548737,282522726323.89557,1.0028872528919854,1.0026287739141793
frs,2044,618430.1629801204,,,76832935432.44553,20209129039.602215,283563024630.38025,2537207991.446941,3067607598.1409416,5604815589.587882,1021408955.9259173,61973357.294257894,0.0,284266186126.29407,18383110532.4256,284196753445.67,1.0024797361956144,1.0022348781760801
frs,2045,618430.1629801202,,,79330005834.0,20148143322.969402,285603583382.9066,2617866390.514858,3202775784.5192785,5820642175.034136,1039603485.4203985,62932918.73491715,0.0,286212858338.86755,18500278578.342552,286146398665.77954,1.0021332889060572,1.0019005898891162
frs,2046,618430.1629801202,,,81908231023.605,20494221773.973255,287512768577.5581,2702672390.6603007,3335588910.2744765,6038261300.934777,1061349787.8444704,63185691.38240104,0.0,288042276293.7165,18622803241.69982,287978250204.68445,1.0018416841755517,1.0016189946256275
frs,2047,618430.1629801202,,,84570248531.87215,20421493486.997314,289675708365.71356,2759297048.035083,3507299500.472843,6266596548.507926,1073446826.159581,65957210.21629887,0.0,290137514130.50616,18749944659.808624,290075625599.5479,1.0015942163994282,1.0013805687611523
frs,2048,618430.1629801202,,,87318781609.15797,20245983423.839474,292260039897.70044,2844913095.3855395,3652957185.662608,6497870281.048147,1096358787.1507068,67997954.26412137,0.0,292664423993.3676,18899619358.4288,292604482599.5126,1.001383644838373,1.0011785487401312
frs,2049,618430.1629801202,,,90156642011.45561,20336202911.86983,295027839587.9329,2933034378.901087,3800400024.269097,6733434403.170182,1121109821.2126555,68456906.62829807,0.0,295383562136.07404,19069653761.090805,295325292460.8784,1.001205725360149,1.0010082196763566
frs,2050,618430.1629801202,,,93086732876.82793,20521679830.20624,297863205590.82886,3007047175.7427616,3986350125.533798,6993397301.276561,1131265501.3544674,70889620.33562855,0.0,298177722390.26196,19248417027.63256,298120834622.37427,1.0010559102082086,1.0008649239876217
frs,2051,618430.1629801202,,,96112051695.32484,21005559658.99269,300479813771.801,3089283792.7483225,4163539447.548247,7252823240.29657,1148211288.2039666,73046894.94649656,0.0,300759487142.28705,19422876225.011986,300703610896.25055,1.000930755936565,1.0007447991984562
frs,2052,618430.1629801202,,,99235693375.4229,20952913904.724262,303394262155.6135,3156975850.863438,4370328905.813697,7527304756.677135,1158578354.3206534,77604179.65085267,0.0,303644535162.73755,19600011899.64153,303589577158.27185,1.0008249101527031,1.0006437663035241
