year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new
2032,3299641831.7591333,2131567180.8964753,1168074650.862658,0,0,0,0,0,0,0,0,25789655799.230877,25125661693.938652,663994105.2922262,22906702277.083977,22242566357.768738,664135919.3152385,23710431600.553005,23046469665.161785,663961935.391219,0.067,2882953522.146902,2883095336.1699142,-141814.02301228046,2079224198.677874,2079192028.776867,32169.901007175446,0.8882127956809381,0.91937759019103,0.10969131141668488,0.10865590276769425,0.11158078234508383,0.10865590276769425,0.11158078234508383,0.03,0.03,0.07865590276769426,0.08158078234508383,0,0.16034885684933106,-7.321037755887227e-6,0,0,0,231607356.35029557,130334683.38071603,0,63947015.426894255,35042239.52587974,0,167660340.92340133,95292443.85483629,0,341794360.7543011,-8551.51862066031,0,0,604738594.013918,604738594.013918,0,1098854714.595582,1098836777.8597884,17936.73579353949,2532082.945173361,0,2532082.945173361,0,0,0,0,0,0,0.18327401119518316,477054634.6959012,4497991017.217792,1640218683.5264602,6138209700.744251,-525435060.7551918,0,1422596730.0146258,0,64253434.36237717,21146940592.494087,22306819792.131115,127776112.18112846,0,37650456.34981371,0,-309.08146691322327,562597097.7933936,664135610.2337716
2033,3406880191.291305,2074006554.0916998,1332873637.1996052,0,0,0,0,0,0,0,0,26720157264.071472,25860922467.52405,859234796.5474205,23954445040.80539,23095043365.802483,859401675.002906,24870215584.661568,24011026043.64494,859189541.0166267,0.067,2765712223.2660837,2765879101.721569,-166878.45548546314,1849941679.409906,1849896423.8791122,45255.53079378605,0.8964934152170982,0.9307660631961407,0.1095435646749982,0.10823729724166736,0.11157617087450021,0.10823729724166736,0.11157617087450022,0.03,0.03,0.07823729724166736,0.08157617087450023,0,0.17205398252255638,-7.93887136806737e-6,0,0,0,224484863.87638956,148716936.69829977,0,62220196.62275099,39986209.11598816,0,162264667.2536386,108730727.58231162,0,356841087.4093607,-10581.512355615761,0,0,627825900.7329553,627825900.7329553,0,1142466280.0352716,1142392030.1072345,74249.92803714237,2699440.560139099,0,2699440.5601390987,0,0,0,0,0,0,0.18428176674301874,483659480.83339465,4981650498.051187,1425143230.2982197,6406793728.349406,-561066078.8214842,0,1476590843.494102,0,63047756.638874054,21962033318.357994,23158091122.441357,145932664.6977679,0,49332779.49958414,0,-311.4903153181076,737102251.6641225,859401363.5125906
2034,3517603797.508272,1961939150.8953035,1555664646.6129687,0,0,0,0,0,0,0,0,27709112968.076385,26617056233.6125,1092056734.4638877,25087728469.5756,23995478389.35201,1092250080.22359,26119821911.738983,25027826583.795147,1091995327.943835,0.067,2621384498.500788,2621577844.2604904,-193345.75970220566,1589291056.337405,1589229649.8173523,61406.52005267143,0.9053963040418913,0.9426437411342463,0.10934040319935596,0.10800466611177988,0.11102497891631664,0.10800466611177988,0.11102497891631664,0.03,0.03,0.07800466611177988,0.08102497891631665,0,0.18978096102901165,-8.163909718587766e-6,0,0,0,211898582.92407617,172717634.59106404,0,58858174.526859105,46669939.39838906,0,153040408.39721707,126047695.19267496,0,372338697.5373538,-12700.305727347019,0,0,651414100.8215185,651414100.8215185,0,1157463000.8378024,1157289450.3224685,173550.5153337344,2882404.0602308423,0,2882404.0602308423,0,0,0,0,0,0,0.185186888097788,490069501.1594719,5471719999.210658,1195649701.4636831,6667369700.674341,-573052169.8610386,0,1532779208.871753,0,59292015.46118927,22808517280.871964,24054770404.813198,169648979.7097721,0,63199455.707468875,0,30.19655704498291,944226164.857792,1092250110.420147
2035,3631925920.927291,1918506634.8035789,1713419286.123712,0,0,0,0,0,0,0,0,28764754832.054043,27406202303.909668,1358552528.144375,26319215377.920635,24960445102.7221,1358770275.198536,27469881182.640423,26111409686.201412,1358471496.4390094,0.067,2445539454.1334076,2445757201.1875687,-217747.05416083336,1294873649.4136214,1294792617.7082558,81031.7053656578,0.9149813906493576,0.9549840192633703,0.10925866214092914,0.10750203615122161,0.1112255470963019,0.10750203615122161,0.1112255470963019,0.03,0.03,0.07750203615122161,0.0812255470963019,0,0.20230529216232362,-8.763800735247582e-6,0,0,0,206243369.61101285,190575997.50446492,0,57555199.04410736,51402578.58371136,0,148688170.5669055,139173418.92075357,0,388124045.2692943,-15016.065199518376,0,0,675970618.691754,675970618.691754,0,1169128906.7373993,1168719807.3422165,409099.3951827507,3007115.7416006527,0,3007115.7416006527,0,0,0,0,0,0,0.18611905457564165,496624777.246252,5968344776.45691,951322912.4464693,6919667688.903379,-574352392.4619093,0,1592615936.9315534,0,53296831.099552155,23708302193.121056,25013741933.82165,187144766.30248198,0,79375396.5965613,0,-32.07590293884277,1185822463.374831,1358770243.122633
2036,3749963513.3574276,1888065834.4191096,1861897678.9383178,0,0,0,0,0,0,0,0,29867974551.21826,28208011781.004147,1659962770.214115,27685219237.525856,26025017233.480488,1660202004.0453672,28913151635.124527,27253293206.35841,1659858428.7661161,0.067,2182755313.6924067,2182994547.5236588,-239233.8312523365,954822916.0937355,954718574.6457367,104341.44799876213,0.9269198750002492,0.9680318826287875,0.10921048056496882,0.10704876901792995,0.11140257401994358,0.10704876901792995,0.11140257401994358,0.03,0.03,0.07704876901792995,0.08140257401994358,0,0.21885206904350427,-9.297036026539895e-6,0,0,0,202115123.39937645,207420193.9954871,0,56641975.03257328,55856930.368149534,0,145473148.36680314,151563263.62733755,0,413207114.35297245,-17310.12979882055,0,0,710226216.2173144,710226216.2173144,0,1204252760.3840456,1203518044.0334368,734716.3506089288,3010746.9081248483,0,3010746.9081248483,0,0,0,0,0,0,0.18939550043286493,509562319.9275764,6477907096.384486,685051845.6444389,7162958942.028925,-588195806.2810879,0,1656420899.0385532,0,3652961.9990730286,24666347199.581554,26028670195.47956,203657420.60695451,0,97774223.92524077,0,-84.31463599205017,1460598985.5020132,1660201919.7307312
2037,3871837327.541544,1764597621.114998,2107239706.4265456,0,0,0,0,0,0,0,0,31030642701.159378,29020545849.53681,2010096851.6225662,29161727467.021294,27151367981.14178,2010359485.879514,30452537055.4283,28442571712.590424,2009965342.8378754,0.067,1868915234.1380832,1869177868.395031,-262634.2569477558,578105645.7310791,577974136.9463882,131508.78469085693,0.9397719456816711,0.9813698462098086,0.10908348167857533,0.10578745885373189,0.11184356351365166,0.10578745885373189,0.11184356351365166,0.03,0.03,0.07578745885373189,0.08184356351365166,0,0.24178289852228832,-9.269340013374212e-6,0,0,0,186672298.23709604,235681197.94420603,0,52937928.63344994,63217191.192796364,0,133734369.6036461,172464006.75140965,0,426649527.558719,-19532.721328550506,0,0,732828371.1924462,732828371.1924462,0,1230873357.8624566,1229700036.582286,1173321.280170785,3214033.698477695,0,3214033.698477695,0,0,0,0,0,0,0.18927147738868508,513455635.5828158,6991362731.967302,405049276.79023385,7396412008.757536,-616378210.7864709,0,1726484596.7116578,0,-16244361.736106873,25716828128.087254,27135123619.405674,231274310.24422896,0,118882670.49100587,0,-501.0989120006561,1775839159.1674817,2010358984.780602
2038,3997672040.686644,1686677218.8797612,2310994821.8068833,0,0,0,0,0,0,0,0,32256356385.859226,29850060333.51,2406296052.349229,30761065503.223106,28354486019.120193,2406579484.1029124,32093188374.757824,29687055380.879784,2406132993.878041,0.067,1495290882.6361213,1495574314.3898048,-283431.75368356705,163168011.10140276,163004952.6302147,163058.4711880684,0.9536435279685949,0.9949415237992307,0.10916454649460966,0.10561274711520491,0.11175682365713022,0.10561274711520491,0.11175682365713022,0.03,0.03,0.07561274711520491,0.08175682365713022,0,0.2604044022664056,-9.52538416792806e-6,0,0,0,178134614.58252534,258269440.77321294,0,50600316.56639283,69329844.6542065,0,127534298.0161325,188939596.11900643,0,439218172.9987476,-22013.113487803013,0,0,755670054.0203987,755670054.0203987,0,1259128192.5340183,1257426563.371427,1701629.162591311,3389090.9594012345,0,3389090.9594012345,0,0,0,0,0,0,0.1890275256022763,517050432.7319512,7508413164.699253,111644083.68326676,7620057248.38252,-640073775.7901541,0,1800890840.2608263,0,-42300973.50774002,26831331093.246704,28312185045.612453,253156707.53773257,0,143063226.121812,0,-64.5638542175293,2136937839.6483803,2406579419.539058
2039,4127596382.00896,1576031069.8816948,2551565312.1272655,0,0,0,0,0,0,0,0,33573174960.24698,30717864280.37343,2855310679.8735523,32522110638.003086,29666497520.48881,2855613117.514274,33864363763.917942,31009252340.118473,2855111423.79947,0.067,1051064322.243895,1051366759.8846169,-302437.64072179794,-291188803.67096233,-291388059.7450447,199256.07408237457,0.9686933296154318,1.008673257861842,0.10928113196580164,0.10567172209780892,0.11151056425540723,0.10567172209780892,0.11151056425540724,0.03,0.03,0.07567172209780892,0.08151056425540724,0,0.2858245023821049,-9.588760930079902e-6,0,0,0,166541917.23405093,284526487.68983567,0,47280932.09645084,76546959.36381796,0,119260985.13760008,207979528.3260177,0,450468296.2876718,-24466.349775473052,0,0,777684343.4015142,777684343.4015142,0,1264968617.9382303,1262570292.4795601,2398325.4586699572,3517519.08365821,0,3517519.08365821,0,0,0,0,0,0,0.18841094705655406,519641817.1586967,8028054981.85795,-194569789.60642818,7833485192.251522,-645560078.9578373,0,1881093317.2963085,0,-76478263.03014755,28031705979.641273,29590019257.458664,278586176.797732,0,170448061.5747874,0,604.9611577987671,2545872572.5017786,2855613722.475432
2040,4261743264.424251,1518487186.7436132,2743256077.6806383,0,0,0,0,0,0,0,0,34990807249.2319,31635305584.258938,3355501664.9729686,34466536710.529305,31110718246.97132,3355818463.5579805,35776441236.99909,32421180022.340103,3355261214.6589856,0.067,524270538.7026048,524587337.28761673,-316798.5850119591,-785633987.7671824,-785874438.0811653,240450.31398296356,0.9850169064415024,1.0224525825360726,0.10936099722021671,0.10540421509710977,0.11155121307485684,0.10540421509710977,0.11155121307485684,0.03,0.03,0.07540421509710978,0.08155121307485684,0,0.3028076087711416,-9.826171933161903e-6,0,0,0,160054950.0537289,306013543.2402489,0,45554615.60230839,82297682.33041915,0,114500334.45142052,223715860.90982977,0,459809473.96745145,-26955.705875981297,0,0,797998713.6228257,797998713.6228257,0,1267671295.3789816,1264317460.9610562,3353834.4179253187,3629649.2320793304,0,3629649.2320793304,0,0,0,0,0,0,0.18724701703274305,520718457.1460098,8548773439.00396,-512650097.0588691,8036123341.94509,-644453036.9398758,0,1968848821.06249,0,-119824942.35989761,29344271002.018875,30990893304.611423,299003103.8843683,0,201203364.82686082,0,1122.667522907257,3005114669.456458,3355819586.2255034
2041,4400249920.518039,1478246078.9734907,2922003841.544548,0,0,0,0,0,0,0,0,36499152260.34962,32590323502.003555,3908828758.346059,36236397491.13156,32327243110.314667,3909154380.816891,37542385963.85009,33633844033.423717,3908541930.4263744,0.067,262754769.2180562,263080391.68888855,-325622.47083234787,-1043233703.5004778,-1043520531.4201622,286827.9196844101,0.9928010719990477,1.0285824091490963,0.10943674766874571,0.10512668857103429,0.11161721296134716,0.10512668857103429,0.11161721296134715,0.03,0.03,0.07512668857103429,0.08161721296134715,0,0.13424837552126281,-1.002796065540161e-5,0,0,0,155403115.1755987,326145925.0555523,0,44347382.36920472,87660115.24633645,0,111055732.806394,238485809.80921584,0,198452134.72286752,-29301.739557941088,0,0,547964375.5989194,547964375.5989194,0,1287265433.335076,1282795296.8588157,4470136.476260341,3648506.666438467,0,3648506.666438467,0,0,0,0,0,0,0.12453028475582766,349183045.7421532,8897956484.746113,-664786869.7869446,8233169614.959168,-928940046.9603494,0,2055971949.6009111,0,-89492960.70278549,30646248223.491146,32237750149.61188,317997980.17329556,0,235339591.65493327,0,1654.5693182945251,3514817453.6446285,3909156035.3862095
2042,4543258042.934875,1351510521.9610915,3191747520.9737835,0,0,0,0,0,0,0,0,38112022826.57698,33583192194.504185,4528830632.072796,38162293410.87834,33633129916.449436,4529163494.428909,39394466834.98502,34865974735.786415,4528492099.198607,0.067,-50270584.3013649,-49937721.945251465,-332862.35611343384,-1282444008.408042,-1282782541.2822304,338532.87418842316,1.0013190216780177,1.0336493293531968,0.1095540064404057,0.10462771308912931,0.11163999139214956,0.10462771308912931,0.11163999139214956,0.03,0.03,0.07462771308912931,0.08163999139214956,0,0.12130358784625396,-9.853836174956565e-6,0,0,0,141405455.1286845,356326665.76742786,0,40545315.658832744,95752425.6292135,0,100860139.46985175,260574240.13821438,0,163943075.3258438,-31450.957183499406,0,0,525346003.9767265,525346003.9767265,0,1299905255.3500798,1294099200.9036925,5806054.44638734,3835924.1430232334,0,3835924.1430232334,0,0,0,0,0,0,0.11563199778926954,326923620.89104676,9224880105.63716,-798066865.7324724,8426813239.904687,-988750670.4491642,0,2135390674.683386,0,-159246801.90054703,31832867775.090084,33473883114.54889,346653236.2208338,0,273358220.07964766,0,2342.6884632110596,4082480998.927308,4529165837.1173725
2043,4690913929.330257,1272265461.764365,3418648467.5658927,0,0,0,0,0,0,0,0,39845625716.59983,34631724782.74736,5213900933.852472,39946781327.75348,34732546175.22173,5214235152.531743,41268507883.33611,36055002946.84872,5213504936.487395,0.067,-101155611.15364361,-100821392.47437286,-334218.6792707443,-1422882166.7362795,-1423278164.1013565,395997.36507701874,1.0025386879822922,1.0357098713132644,0.10975533882176779,0.10538280187497653,0.11138259818770428,0.10538280187497653,0.11138259818770428,0.03,0.03,0.07538280187497653,0.08138259818770428,0,0.0415076722877299,-9.849807399676587e-6,0,0,0,134074899.08948961,380777948.6079028,0,38167963.85293095,102559454.02697678,0,95906935.23655866,278218494.58092606,0,52808777.84991261,-33673.02897272355,0,0,426900534.63842463,426900534.63842463,0,1304589395.7479212,1297280512.724145,7308883.023776334,4006756.181992454,0,4006756.181992454,0,0,0,0,0,0,0.09100583405915852,259434428.63105515,9484314534.268215,-864708736.5425808,8619605797.725634,-1110396835.7847428,0,2218789614.453587,0,8976519.89654541,33077931498.557064,34741522695.11828,369428636.37316126,0,315646959.2375707,0,3937.5078983306885,4713877812.61549,5214239090.039641
