year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2032,78549621.25666021,15674516.162486026,51419310.529403076,47023548.48745808,192666996.43600738,0.18547687548834127,0.1714459389405672,486998388.7572529,47392412.978908055,105076104.80806145,37133625.642102145,856.1394196744516,94224137.41914624,98442859.01686116,0.18314277991881034,381922283.94919145,10258787.33680591,7699059.441015205,8746.714039902965,0,13343.693650433404,31296900.858980574,300.2534616906644,335591144.7909334,3095.265783108317,90495965.50560439,762276211.4549805,5766536.235145467,126232289.39780416,1613720989.0339246,10270629.316628922,1623991618.3505535,127559402.59973042,13643.94711212407,127573046.54684255,-0,0,0,1613720989.0339253,10270629.316628912,1623991618.3505542
2033,72525462.35801439,19105359.352015026,49822133.878103524,57316078.05604507,198769033.644178,0.18494801765008614,0.17171364732016509,446242397.45707875,58530606.866041094,97547065.50872363,44952683.29783059,856.1394196744516,91630821.71002942,107138211.9341486,0.1821886033369532,348695331.94835514,13577923.568210505,8769001.496367585,28893.50432409184,0,15495.263414127443,37236247.1967349,2170.1501694599265,393670282.5692967,21611.135641384357,88690165.73063847,724658551.8918258,5953948.6627876945,128735904.12466933,1604529072.0305145,13628428.208175981,1618157500.2386904,131880361.59016107,17665.413583587368,131898027.00374466,0,-0,0,1604529072.030515,13628428.208175974,1618157500.2386909
2034,72010376.89268424,20899685.644529574,49794908.65413171,62699056.93358872,205404028.12493423,0.18456684392483252,0.17182475027145505,454267380.7549817,65862874.05260497,90669278.40553741,48198290.6701015,856.1394196744516,92910062.5372138,112493965.58772042,0.18170056933049483,363598102.34944427,17664583.382503472,9972407.966051418,75218.89577080496,0,15546.445491815064,39069877.62226321,6172.244025100992,402233687.8414704,60662.868029504134,86658133.82820198,686552541.0403761,6147451.994328294,131213757.70669389,1593570496.904036,17800465.14630378,1611370962.05034,131875463.44479348,21718.689516916056,131897182.1343104,0,0,0,1593570496.9040365,17800465.146303773,1611370962.0503402
2035,71610121.26432045,22660659.298696864,50018852.63811284,67981977.8960906,212271611.09722075,0.1841910917620262,0.17191306041164717,462864093.8542993,73440247.80087765,83453392.06578799,51253776.634041905,856.1394196744516,94270780.56301731,118000830.53420344,0.1812397182438694,379410701.78851134,22186471.16683574,10127466.600357436,140496.87335757542,0,17264.915120444883,40976861.350699335,21770.053764081076,410558777.68683517,218176.56865149413,84400882.63645703,648150678.6536243,6347244.184143963,133657835.28889841,1581905460.0182266,22545144.60884481,1604450604.6270714,131724988.17130032,39034.96888452596,131764023.14018485,0,-0,0,1581905460.0182269,22545144.6088448,1604450604.6270716
2036,59599879.995825455,28345182.219831623,45000375.02440996,85035546.65949486,217980983.8995619,0.17973248820448592,0.17230664508938592,385236536.81259024,91731569.8634967,75854822.91730951,64518066.539460406,856.1394196744516,87945062.21565709,130035921.68390483,0.17733909770670855,309381713.8952807,27213503.3240363,11290337.858048119,246798.06653327245,0,14803.957529798134,51899954.30678319,43275.91509602368,494321381.8195503,432951.325426652,81922895.31060085,609653878.8128161,6553529.620128642,136059380.63312596,1560706693.0188212,27893252.715996224,1588599945.7348175,140376379.23751268,58079.872625821816,140434459.1101385,-0,0,0,1560706693.0188217,27893252.71599621,1588599945.734818
2037,57958745.09897927,30637875.491684217,44697716.73787771,91913626.47505265,225207963.80359384,0.17901428176378817,0.17237952299565246,378158447.65313715,101836303.29180962,70225061.32443078,68504407.09811415,856.1394196744516,88596620.5906635,136611343.21293038,0.17671989500614108,307933386.3287064,33331896.19369547,7331853.941871163,376338.3879280088,0,17608.27899591857,54547881.902418494,83494.50859171015,510496906.17760444,836826.5315033571,79232620.66301125,571268068.0302635,6766519.332782823,138408839.80276257,1535439054.281208,34545061.11312684,1569984115.3943348,140547021.89821258,101102.78758762873,140648124.68580022,0,-0,0,1535439054.2812085,34545061.11312683,1569984115.3943353
2038,55506672.79049649,33220966.52242687,44137094.30494906,99662899.5672806,232527633.18515304,0.17866438775031684,0.17248456375886959,364747006.7664907,113187641.99791263,64554697.307343386,72987957.53887367,856.1394196744516,88727639.31292336,143799993.87222967,0.1763505684317355,300192309.45914733,40199684.45903896,8150294.745391171,539168.4163095463,0,20651.80583232051,57266852.09866817,126149.3027434134,525854197.0828278,1255268.5866388003,76342405.66608101,533200622.9222101,6986431.211098264,140695800.8584494,1508093225.068026,41994121.4619873,1550087346.5300133,140595688.97584745,146801.1085757339,140742490.08442318,0,-0,0,1508093225.068026,41994121.46198731,1550087346.5300133
2039,54558699.98550114,35683761.058116354,42960419.93498528,107051283.17434907,240254164.15295184,0.17830131078879194,0.17255141713850644,367852906.49705476,124680305.55405417,58962796.31676417,77022742.46593852,856.1394196744516,90242461.04361749,150011703.10933435,0.17602768229114718,308890110.1802906,47657563.08811565,9132013.581799718,727289.8490285797,0,19366.612594284517,58509539.94930734,195081.0869023496,523473388.97239333,1938530.8815684272,73268258.94495982,495656805.7130383,7213490.225458957,142908929.29050654,1480061247.7380288,50323383.81871265,1530384631.5567415,138991289.11972612,214447.69949663413,139205736.81922275,0,0,0,1480061247.7380288,50323383.81871263,1530384631.5567415
2040,54023289.247391,37829175.90620308,42951437.599690266,113487527.71860924,248291430.4718936,0.17794605640761754,0.17259999815375968,372899224.69049495,135682198.96223876,53185415.94764006,80137933.55836698,856.1394196744516,91852465.15359408,156438965.3182995,0.1757442975571412,319713808.7428549,55544265.403871775,7137754.051678151,962145.903289492,0,20854.634463299644,59756672.36654396,306690.70741694374,520995364.6489643,3018377.424934728,70028869.00215791,458836942.69365394,7447928.657786373,145035898.8951841,1451719769.0323353,59524788.732095994,1511244557.7644312,137233470.02648824,327545.3418802434,137561015.36836848,-0,0,0,1451719769.0323355,59524788.73209596,1511244557.7644315
2041,41037510.71676636,44151455.36539815,37421827.02128272,132454366.09619446,255065159.1996417,0.17218464479142248,0.17296390539895,278387436.6706778,158292293.7744452,47135607.54039067,94184843.97986038,856.1394196744516,85188966.08216451,169876193.11747718,0.17258851739973752,231251829.1302871,64107449.794584826,7817494.347991622,1240579.1812064452,0,18822.624010668897,71792469.50152452,434467.637675638,603404109.8781497,4240946.031237725,66646533.854383945,422932483.99974483,7689986.33916443,147063317.781997,1412469235.1381702,69588975.007029,1482058210.1451993,146128989.6950729,453290.2616863069,146582279.95675918,0,-0,0,1412469235.1381705,69588975.00702897,1482058210.1451995
