age,n_retire,total_ben,avg_ben,n_retire_ratio,total_ben_ratio
81,8810.5,214326500,24326.258441632144,0.019858944132138987,0.019195863520761365
82,8810.5,214326500,24326.258441632144,0.019858944132138987,0.019195863520761365
83,8810.5,214326500,24326.258441632144,0.019858944132138987,0.019195863520761365
84,8810.5,214326500,24326.258441632144,0.019858944132138987,0.019195863520761365
85,4405.25,107163250,24326.258441632144,0.009929472066069494,0.009597931760380683
86,4405.25,107163250,24326.258441632144,0.009929472066069494,0.009597931760380683
87,4405.25,107163250,24326.258441632144,0.009929472066069494,0.009597931760380683
88,4405.25,107163250,24326.258441632144,0.009929472066069494,0.009597931760380683
89,4405.25,107163250,24326.258441632144,0.009929472066069494,0.009597931760380683
90,2202.625,53581625,24326.258441632144,0.004964736033034747,0.004798965880190341
91,2202.625,53581625,24326.258441632144,0.004964736033034747,0.004798965880190341
92,2202.625,53581625,24326.258441632144,0.004964736033034747,0.004798965880190341
93,2202.625,53581625,24326.258441632144,0.004964736033034747,0.004798965880190341
94,2202.625,53581625,24326.258441632144,0.004964736033034747,0.004798965880190341
95,440.525,10716325,24326.258441632144,9.929472066069493e-4,9.597931760380683e-4
96,440.525,10716325,24326.258441632144,9.929472066069493e-4,9.597931760380683e-4
97,440.525,10716325,24326.258441632144,9.929472066069493e-4,9.597931760380683e-4
98,440.525,10716325,24326.258441632144,9.929472066069493e-4,9.597931760380683e-4
99,440.525,10716325,24326.258441632144,9.929472066069493e-4,9.597931760380683e-4
100,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
101,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
102,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
103,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
104,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
105,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
106,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
107,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
108,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
109,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
110,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
111,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
112,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
113,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
114,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
115,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
116,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
117,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
118,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
119,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
120,419.54761904762046,10206023.80952381,24326.25844163206,9.456640062923359e-4,9.140887390838746e-4
