year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2032,13437495791.270699,3294984353.3720784,7071032410.641331,9884953060.116236,33688465615.400345,0.08569929791709385,0.08341960811663199,53506200504.83187,3800906916.7694564,7991284227.32331,2685820533.5414042,536076.522178452,16732480144.642776,16955985470.757566,0.08525037808224983,45514916277.50856,1115086383.2280521,2480947083.3441057,3868735.4767493927,0,26475549.031404223,3180959316.2623715,187547.145274376,37464497110.55736,2005057.6876783862,7932556791.40789,68791145793.52116,375960192.93538207,8229951905.517896,162481458170.4491,1120960176.39248,163602418346.84158,11489476300.605644,26663096.176678598,11516139396.782322,0,0,0,162481458170.44907,1120960176.3924792,163602418346.84155
2033,12369149514.97081,3777817282.4596686,6688550735.590984,11333451847.379005,34168969380.40047,0.08473425133435179,0.08352878784523328,49459193343.58537,4507687620.294029,7375116315.4781685,3085793510.403002,536076.522178452,16146966797.43048,18022002582.96999,0.08445221565175592,42084077028.10721,1421894109.8910275,2803791759.5312757,12009316.996699225,0,28225446.185938753,3753396496.502813,776359.8795500787,43696523293.929016,8025578.766292839,7803316166.332526,65596836395.35455,388178899.205782,8393179783.9818115,162574408260.90387,1441929005.6540196,164016337266.5579,11944891562.04112,29001806.06548883,11973893368.10661,0,-0,0,162574408260.90384,1441929005.654019,164016337266.55786
2034,12012309600.425364,4140758682.49948,6533233968.114117,12422276047.49844,35108578298.5374,0.08418528815422086,0.08362794416498585,48911179281.3076,5190687109.6903515,6821158484.821493,3412848981.625595,536076.522178452,16153068282.924843,18955510015.612556,0.08404241579572266,42090020796.48611,1777838128.0647564,3139274418.7762885,25871848.640684083,0,30138519.028544474,4046437943.4410768,1814650.3403067503,46291903816.12276,18431601.263176426,7653426859.020758,62338397574.82254,400794713.4299699,8554728116.078623,162414324722.28632,1822141577.968617,164236466300.25494,12100659515.891804,31953169.368851226,12132612685.260654,0,0,0,162414324722.2863,1822141577.9686165,164236466300.2549
2035,11756446248.118998,4485599971.375278,6438126200.468432,13456799914.125835,36136972334.08855,0.08369178831021855,0.08369979737321141,48885234048.97312,5888884649.923764,6266916358.19501,3722437609.1654677,536076.522178452,16242046219.494276,19894926114.59427,0.08369400018994393,42618317690.778114,2166447040.7582965,3205696371.6141505,44744401.07574015,0,31442508.789697114,4323681280.747934,4277557.777688507,48516683768.457275,43596691.19183916,7482673911.706474,59032396300.62918,413820541.61644393,8714074358.239447,162087168489.71817,2254788133.025876,164341956622.74405,12220175734.070852,35720066.56738562,12255895800.638237,0,0,0,162087168489.7181,2254788133.025875,164341956622.744
2036,10734472713.86434,5000549139.314051,6015320085.86584,15001647417.94215,36751989356.98638,0.08262338443937939,0.08376542525200327,45214766292.58113,6733406139.221646,5702881743.516037,4140004145.562746,536076.522178452,15735021853.17839,21016967503.80799,0.08298632204797726,39511884549.065094,2593401993.6589003,3528198864.6913333,70768257.40129645,0,31480476.395590827,4865631292.244936,7682220.206016703,53739727890.19312,77969798.97819869,7291126328.96992,55696440523.80141,427269709.21897835,8870647631.02251,161346899458.7735,2742140050.0383954,164089039508.8119,12584027330.433834,39162696.60160753,12623190027.035442,0,-0,0,161346899458.7734,2742140050.038395,164089039508.8118
2037,10091188289.043953,5437549643.9628,5783172007.149237,16312648931.888401,37624558872.04439,0.08193007856050895,0.08381301903903918,42920949688.29321,7587928567.130569,5198056354.53997,4516058414.841507,536076.522178452,15528737933.006752,22095820939.037636,0.08258940981928903,37722893333.75324,3071870152.2890625,2856294796.6356277,103235309.15844552,0,33606050.28158179,5337432422.953961,12268288.897078274,58234356573.76297,123756757.91298056,7079198774.895063,52348903264.00103,441155974.76859516,9023825047.532423,160186273015.68527,3298862219.3604884,163485135235.04575,12857787172.61762,45874339.178660065,12903661511.79628,-0,0,0,160186273015.68527,3298862219.360488,163485135235.04575
2038,9182002723.041662,5931001535.004429,5471657365.933208,17793004605.013287,38377666228.992584,0.08102243995648759,0.0838603865721148,38977865789.81529,8526217380.551666,4719554281.003888,4924820274.07943,536076.522178452,15113004258.046091,23264661970.946495,0.08213617389357586,34258311508.811405,3601397106.4722366,3140685890.4415393,142976682.05129063,0,35436455.2071863,5844534579.167048,17792294.842998948,63017292070.20028,178020901.31910285,6847668596.452559,49008611186.236534,455493543.9485745,9172927781.76852,158597828437.45828,3922394689.84263,162520223127.3009,13147696719.568182,53228750.05018525,13200925469.618368,0,-0,0,158597828437.45825,3922394689.8426304,162520223127.30087
2039,8755194183.367346,6350658921.6725445,5306043888.27786,19051976765.017635,39463873758.33538,0.08036912698391202,0.08389220321756816,37604047311.9061,9469428831.296284,4291816153.5232005,5284591297.82162,536076.522178452,15105853105.03989,24358020653.295494,0.08185026514667729,33312231158.382896,4184837533.4746637,3444082827.041589,186378995.82290938,0,36779304.22690671,6133512744.438981,25076976.011121206,64998302398.35107,249498406.01176283,6597669904.890619,45694518230.82375,470297084.1269031,9317216859.020107,156766351473.61942,4620714935.309336,161387066408.92874,13201479733.456505,61856280.238027915,13263336013.694532,0,0,0,156766351473.6194,4620714935.309337,161387066408.9287
2040,8453253626.955257,6750379409.040159,5206854208.799442,20251138227.120476,40661625471.91534,0.0797862042606098,0.08390615215799996,36879489712.23608,10430419412.273481,3875720522.717396,5625397300.756536,536076.522178452,15203633035.995417,25457992435.919918,0.08161545200600172,33003769189.51868,4805022111.516946,3273964019.151782,237904319.21672016,0,37951741.03356067,6403562942.411596,35067811.55974868,66594526843.49831,347127621.47050077,6330603507.259614,42425447445.02933,485581739.3610275,9455888649.213427,154753596146.41153,5390054052.204167,160143650198.6157,13219748189.032238,73019552.59330934,13292767741.625547,0,0,0,154753596146.4115,5390054052.204168,160143650198.61566
2041,7535058470.454205,7294411894.258908,4819896753.073363,21883235682.776726,41532602800.5632,0.07864353880504703,0.08392423419675704,33299598194.69752,11529054234.357975,3460940777.1924686,6054815906.766448,536076.522178452,14829470364.713112,26703132435.85009,0.08124104001904221,29838657417.50505,5474238327.591527,3548026103.4011884,298291773.3579999,0,38148915.03567363,6863358621.656012,46739905.45210846,70189112353.6488,460167114.08369213,6048231328.630855,39219721095.21544,501363145.8902609,9588070042.820465,152383587012.59094,6232697215.033219,158616284227.62418,13412953096.177126,84888820.48778209,13497841916.664907,-0,0,0,152383587012.59094,6232697215.033218,158616284227.62415
