year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2036,1623378.257106845,1209370.457330477,668206.844764199,3628111.371991431,7129066.931192951,0.09297049060114625,0.052798154517905656,7145477.180339741,1105894.9963068257,908441.2281447838,713223.0519664759,99.94805194805197,2832748.7144373218,4296318.2167556295,0.07581992718780356,6237035.952194957,392671.94434034976,363967.1799648166,17109.091867708692,0,5890.355208236164,1260317.221043307,83.83711282696697,15514681.068978481,1014.9867995305998,6073614.943279796,44579326.52128849,-135810.76562435555,-2819599.4716199543,63875411.250806786,410796.0230075891,64286207.27381437,7198121.398698748,5974.192321063131,7204095.591019811,-0,0,0,63875411.25080672,410796.023007589,64286207.273814306
2037,1508112.1941950892,1305474.702503708,630953.7222418089,3916424.1075111236,7360964.726451729,0.09225645598718309,0.05280445525080383,6744486.92863226,1241890.0428216602,818380.5174360272,773008.3497595881,99.94805194805197,2813586.896698797,4547377.829752932,0.07395114294178529,5926106.411196233,468881.69306207204,401444.34590790083,24187.897242855553,0,6390.572209552426,1329145.244694386,208.06591626251316,16091665.313810453,2503.656393879602,5859849.471027179,41706291.92718764,-140224.6155071471,-2868288.0207113437,61257219.97739087,495573.2466988072,61752793.224089675,7048770.100214417,6598.6381258149395,7055368.738340232,-0,-0,-0,61257219.9773908,495573.24669880717,61752793.22408961
2038,1382466.4851047127,1406505.305142155,590548.3559616307,4219515.915426465,7599036.061634962,0.09133725999016003,0.05281622927940963,6246781.495941617,1385789.610152903,734078.9258367474,832500.164251707,99.94805194805197,2788971.7902468676,4810064.271388096,0.07191073361091023,5512702.570104869,553289.445901196,437984.81850389077,32556.638081523855,0,6665.126234306687,1403071.745344676,401.76731184668614,16706677.49997992,4798.557208167686,5632609.511883245,38868003.97442596,-144781.91551112937,-2915681.4025878743,58609687.46042676,590644.6411908875,59200332.10161765,6890899.3417167915,7066.893546153374,6897966.235262945,0,0,0,58609687.46042669,590644.6411908874,59200332.101617575
2039,1283427.8563359734,1502367.6042821768,556099.0088847206,4507102.81284653,7848997.282349401,0.09042740695930779,0.052821332639531815,5869224.679181546,1534101.0149606743,656991.5130901176,888075.3170843268,99.94805194805197,2785795.4606181504,5063201.821731251,0.0701466115524107,5212233.166091428,646025.6978763476,479793.7322668947,41490.964464607125,0,6527.97697132606,1465309.1056426594,816.828394189463,17144343.03290083,9642.671123300815,5393218.277955613,36078941.96275688,-149487.32776524106,-2961544.7287960206,55953767.16522001,697159.3334642554,56650926.498684265,6709040.055833031,7344.805365515524,6716384.861198547,-0,-0,-0,55953767.16521993,697159.3334642554,56650926.49868419
2040,1203542.723569693,1594121.1264379525,530307.7648471899,4782363.379313857,8110334.994168693,0.0895189996716617,0.05278049785148244,5573809.424434273,1684474.580123554,584952.8913993504,940163.7102243195,99.94805194805197,2797663.850007646,5312671.144161047,0.06858524027627655,4988856.533034923,744310.8698992345,311662.26539471484,52322.30953166423,0,6642.6964516612215,1534847.4676181665,1575.938144091758,17647097.503673516,18374.25375235426,5143139.4389964985,33353091.63526509,-154345.6659176114,-3005622.5597077427,53295085.3776605,815007.433183253,54110092.81084375,6523641.240697053,8218.63459575298,6531859.875292806,0,0,0,53295085.377660416,815007.4331832529,54110092.81084367
2041,1006895.3854740378,1720770.530334771,465928.2707873032,5162311.591004313,8355905.777600425,0.08643637397287753,0.052742972736492866,4628511.652155937,1857014.0234351547,516404.79444704065,1007063.3258394492,99.94805194805197,2727665.915808809,5628239.861791616,0.06518061402871149,4112106.857708896,849950.6975957055,342223.26796202717,63753.239391716656,0,6735.230630912784,1647042.2006747243,2654.8588314060817,18491474.208674483,30657.411445750953,4884083.429940337,30703665.344887517,-159361.90005993375,-3047637.3711482272,50601832.3080847,944361.3484331731,51546193.65651787,6371763.730555127,9390.089462318865,6381153.820017446,0,-0,0,50601832.3080846,944361.348433173,51546193.656517774
2042,973489.787415314,1803510.06718363,456335.193719053,5410530.20155089,8643865.249868887,0.08582930485561403,0.05263717525680997,4568788.386599149,2015861.6590156553,463971.5295845938,1053424.3779021623,99.94805194805197,2776999.854598944,5866865.3952699425,0.06427282555527492,4104816.857014555,962437.281113493,376103.7575741619,77928.88565495553,0,7020.019071954864,1673541.647193145,4098.607023737815,18415743.34905508,46907.31908126183,4617953.196330492,28142857.726664484,-164541.16181188158,-3087287.9132032767,47952233.777105,1087273.4858497104,49039507.26295471,6126953.681711756,11118.626095692678,6138072.307807448,-0,0,0,47952233.77710491,1087273.4858497102,49039507.262954615
2043,935702.0684027807,1889878.5842078377,445438.7554781561,5669635.752623513,8940655.160712287,0.08511278982805562,0.05253512521902537,4475133.874658308,2181065.6347753135,411503.67032886564,1097595.1699865218,99.94805194805197,2825580.6526106186,6115074.508101669,0.06332334608620808,4063630.2043294422,1083470.4647887917,413764.7822225379,94154.55385189624,0,7132.098041396667,1700683.1638496579,5695.9999404728505,18336216.25054419,64599.36826284924,4346823.693412442,25681605.500938565,-169888.74957076772,-3124247.453817128,45370969.28421761,1242224.3869035372,46613193.67112115,5877618.107691332,12828.097981869518,5890446.205673201,0,0,0,45370969.2842175,1242224.386903537,46613193.67112104
2044,908532.2549106911,1975765.4738244407,437898.8589811404,5927296.421473322,9249493.009189595,0.08449181650621534,0.05242223202747597,4441586.878911154,2351180.5544211217,359434.2027512569,1138935.2186298296,99.94805194805197,2884297.7287351317,6365195.280454462,0.06252391175708394,4082152.6761598974,1212245.3357912921,455628.849687983,113684.11858787326,0,6767.074326911454,1721293.148422712,7521.743456620443,18162688.729200665,84520.15673348976,4072842.120645698,23329430.94885575,-175410.13393181766,-3158161.899291058,42871739.30461323,1410449.6111126551,44282188.91572589,5618725.135136593,14288.817783531897,5633013.952920125,0,-0,0,42871739.30461311,1410449.6111126551,44282188.91572577
2045,887093.9017540327,2062711.4046792688,432026.26878068194,6188134.214037806,9569965.78925179,0.08391994037147803,0.05229918057253904,4424988.702434374,2527466.1982167466,306752.75376369886,1177975.3719666752,99.94805194805197,2949805.3064333014,6620160.482818488,0.06180848043219135,4118235.948670675,1349490.8262500714,271451.01627694926,136469.45897772507,0,6653.923652912771,1755929.6380687903,9554.747653604047,18152548.699692275,106354.81462359063,3798134.5442002984,21094368.278228786,-181110.96328460172,-3188647.783258957,40447956.15960972,1592315.099851387,42040271.259461105,5372953.2189844875,16208.671306516819,5389161.890291004,0,0,0,40447956.15960959,1592315.0998513869,42040271.25946098
2046,626831.8800642174,2220408.248622857,347170.6439391892,6661224.745868571,9855635.518494835,0.08204633551471284,0.052228075484086034,3108088.725479528,2743744.7872753767,252860.3209267665,1248571.4758595969,99.94805194805197,2847240.1286870744,7008395.389807761,0.05879269074323537,2855228.4045527615,1495173.3114157799,290579.45454102335,161646.3904418029,0,6524.857502175227,1877935.1183368382,11928.49250625766,19103267.34407925,131605.27589777074,3524810.2093027756,18982880.743567336,-186997.06959135126,-3215290.1151459557,38016665.831594415,1788424.9777553533,39805090.80934977,5215748.258048262,18453.350008432888,5234201.608056695,0,-0,0,38016665.83159427,1788424.9777553533,39805090.80934963
2047,558051.7049396287,2326370.23430802,326319.79476428864,6979110.70292406,10189852.436935997,0.08209873693408296,0.05208197025049188,2813388.8113671127,2947043.3639984406,218372.7036857928,1296122.9877648777,99.94805194805197,2884421.939247649,7305430.497688348,0.05788934107811851,2595016.10768132,1650920.3762335628,311103.0162729111,191064.77892532034,0,6825.47775422865,1904321.1860186127,14690.430275061375,18980752.19055585,160716.0376913513,3254906.7225583415,16999827.030828007,-193074.47435307017,-3237640.078507664,35649058.26683042,2002701.1928502345,37651759.459680654,4966153.434223884,21515.908029290025,4987669.342253174,-0,0,0,35649058.26683027,2002701.1928502338,37651759.459680505
2048,498334.75892580894,2432567.6548016076,308626.0834479552,7297702.964404822,10537231.461580195,0.08214463482547346,0.05193966794665321,2548041.9177741753,3157074.601910343,187188.33471328585,1339512.2616399487,99.94805194805197,2930902.4137274167,7606329.047852778,0.05707535066929156,2360853.5830608895,1817562.3402703942,330467.0793207469,224383.4731961972,0,6890.660073076199,1924801.870448861,17664.082003636315,18782984.49987121,191543.5625627561,2990386.898005054,15148428.543888427,-199349.39476954495,-3255212.568998133,33367521.137143146,2233489.3760293475,35601010.51317249,4715839.37368437,24554.742076712515,4740394.115761083,-0,0,0,33367521.137142986,2233489.3760293466,35601010.513172336
2049,443617.0243356722,2542070.452308224,285214.19361314405,7626211.356924673,10897113.027181713,0.08211553376855647,0.051796192885372606,2304913.247457088,3375770.003869253,158794.42634627508,1381117.6670854713,99.94805194805197,2985687.476643896,7911425.550537816,0.05630107689873083,2146118.821110813,1994652.3367837819,353405.927768454,259380.55409260193,0,6742.991119594608,1939550.2049473561,21152.750915178436,18514944.181089964,227551.28756032092,2733103.8438265566,13430269.412502395,-205828.25009955515,-3267483.5610214523,31177254.78145017,2481584.178436705,33658838.95988688,4466825.798674357,27895.742034773044,4494721.5407091305,-0,-0,-0,31177254.781450007,2481584.1784367044,33658838.959886715
2050,398113.8369157231,2650238.2138574165,271563.64535119815,7950714.64157225,11270630.337696588,0.08215232937201533,0.051596715859753915,2099876.324025217,3591882.3471214157,133005.80416933307,1420160.5561518306,99.94805194805197,3048352.0507731396,8222278.286923449,0.05558726955305028,1966870.519855884,2171721.790969585,96665.68987109892,298551.70677269925,0,6853.144508698603,1968970.7818092494,25983.380293767983,18426359.20548308,276409.86732317624,2484790.2840736927,11845307.179066362,-212517.66822779068,-3273887.2913820986,29061315.302894324,2746683.36506546,31807998.667959783,4241243.397655151,32836.524802466585,4274079.922457618,0,-0,0,29061315.302894145,2746683.36506546,31807998.667959604
2051,286074.90264899074,2781541.157117193,235877.83167214578,8344623.471351579,11648117.362789908,0.08001804863587159,0.05141920369768062,1493467.8248578117,3826060.2238435717,109211.2139908211,1467352.368850919,99.94805194805197,3067616.0597661836,8580501.303023724,0.05408622969512248,1384256.6108669906,2358707.854992653,104174.81660139882,338215.7627434158,0,6992.265739137431,2008699.5656952194,31471.220477415067,18398293.393923383,332067.63465328806,2246908.7934092446,10392033.966654561,-219424.49244519387,-3273813.247459505,27004945.54058683,3028991.2523893565,30033936.792976186,4036183.86665927,38463.4862165525,4074647.3528758227,0,0,0,27004945.54058664,3028991.252389356,30033936.792975996
2052,264937.2667661041,2888914.8583759074,230631.83613115625,8666744.575127723,12051228.53640089,0.07999522512134671,0.051158679354485814,1405754.4379624357,4046748.312368595,93637.20985453694,1502817.7752382993,99.94805194805197,3153852.1251420113,8897376.411258878,0.05358107435441112,1312117.2281078987,2543930.5371302958,112327.1529989382,384502.5040781777,0,7240.176457569549,1994763.4437769025,38327.89232832876,17822818.71501495,400957.1876563626,2020657.8079057047,9067642.434514713,-226555.78844966268,-3266602.946589629,25048302.58404687,3329390.228864836,28377692.812911708,3788865.4632329447,45568.06878589831,3834433.532018843,0,0,0,25048302.584046666,3329390.2288648356,28377692.812911503
