year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2032,3123666.9740599846,569098.8592872198,1694506.7660512913,1707296.5778616595,7094569.177260155,0.14806559063737423,0.12852661119332373,18942341.437290158,1110215.1845195077,2946928.616764392,797277.4144520867,105.73248407643312,3692765.833347204,3401803.3439129507,0.14505440297612832,15995412.820525765,312937.770067421,1397700.9695226147,1028.1817103018093,0,2268.651339058849,1119091.3661633565,45.47755045331149,12465151.028313408,449.4243594976569,8072851.614677415,68000188.84923023,1574373.8708590195,34463811.54693353,132322265.21452555,314415.3761372205,132636680.59066278,10766316.851699792,2314.12888951216,10768630.980589304,0,0,0,132322265.21452537,314415.37613722053,132636680.5906626
2033,2733919.3050590833,658075.4465147592,1562566.457492606,1974226.3395442774,6928787.548610726,0.14798534981133507,0.12872670427776084,16105092.966437865,1325158.416973341,2681865.2386189546,926877.4637122306,105.73248407643312,3391994.7515738425,3536792.7970368834,0.14424901096443798,13423227.72781891,398280.95326111047,1538750.023860835,5584.731187442446,0,2888.950525086035,1442083.6063211435,175.70519069960977,15917214.798659788,1695.2139922481674,7911762.072755077,64644439.42937359,1625541.0216619375,35147345.89891614,130670977.87862927,405560.8984408011,131076538.77707008,10979386.700738158,3064.655715785645,10982451.356453944,0,-0,0,130670977.87862903,405560.8984408012,131076538.77706984
2034,2700695.609498917,716324.2661000319,1547040.7483496605,2148972.798300096,7113033.422248705,0.14772881557388828,0.12886151085531622,16360804.63409264,1504265.7317209323,2456970.204891294,1005869.9200014232,105.73248407643312,3417019.875598949,3696013.5466497564,0.1437735830327115,13903834.429201346,498395.8117195091,1695048.6782823137,12240.859052170208,0,2683.057108783168,1509215.12967011,394.4637413659768,16244580.218773644,3731.170410467293,7730491.09638603,61245125.774755575,1678371.1048659503,35823846.96927757,128912436.07029045,514367.84118214657,129426803.91147259,10918077.33092209,3077.5208501491447,10921154.85177224,-0,0,0,128912436.07029021,514367.8411821465,129426803.91147235
2035,2669326.0353816054,775136.9226841031,1534556.3267736193,2325410.7680523093,7304430.052891637,0.14747650942180623,0.12896254401821022,16620320.889407648,1691646.365999866,2222616.645002135,1083081.8826627014,105.73248407643312,3444462.9580657086,3859967.0948259286,0.1433101536373671,14397704.244405512,608564.4833371646,1772552.2817662212,20060.69215577509,0,2773.845442426282,1584361.9711725959,917.6132551896363,16621327.435389087,8820.479542770521,7529129.037578201,57819420.16408601,1732918.1657740937,36491126.55044507,127102130.67609191,637445.6550357103,127739576.33112761,10846409.17452489,3691.458697615918,10850100.633222505,0,0,0,127102130.67609163,637445.6550357101,127739576.33112733
2036,2013073.074739671,963833.4037396469,1277729.2040982095,2891500.2112189406,7146135.893796468,0.1379903027052803,0.12925628313281917,12438311.188251218,2086290.0115895674,1977869.0740104506,1356697.5280716736,105.73248407643312,2976906.478479318,4169229.41531715,0.1351624880346783,10460442.114240767,729592.4835178938,1932272.3740727594,29954.92278028296,0,3261.9867757732345,2144390.1601149784,1631.6307305888051,20845178.32476372,15677.11963035245,7308075.824068375,54385245.49101139,1789238.0061617517,37146794.02316314,124769932.32725178,775224.5259285292,125545156.8531803,11241703.990345104,4893.617506362039,11246597.607851466,0,-0,0,124769932.32725148,775224.5259285292,125545156.85318
2037,1932749.1864443119,1030937.8596773176,1248784.5053392132,3092813.5790319527,7305285.130492795,0.13760296338715888,0.12935540998204537,12023788.440301655,2321329.8856681897,1832601.739017974,1442692.3290862239,105.73248407643312,2963687.0461216294,4341598.084371166,0.13473399816825396,10191186.70128368,878637.5565819659,729862.5573143797,43961.779759892925,0,3133.83792770388,2326809.791173355,2473.873458506351,22494757.14473318,23539.04476431253,7068085.1470102435,50960971.791898906,1847388.2413620085,37788240.98135306,122165019.1765832,946138.3811061714,123111157.55768937,11242283.179545607,5607.711386210231,11247890.890931817,0,0,0,122165019.17658289,946138.381106171,123111157.55768906
2038,1701951.423973557,1119727.5571003263,1169749.2617100414,3359182.671300979,7350610.914084904,0.13723855848789235,0.12948905116583842,10398669.370971445,2604892.9365998865,1689434.0399933206,1561760.317283205,105.73248407643312,2821678.9810738834,4528931.9330110205,0.13416331961038117,8709235.330978125,1043132.6193166815,820529.2221057827,60315.88740099656,0,3829.2790945290517,2497714.769643799,3428.9721668256693,23893138.125165585,32180.284165823276,6810258.439771144,47565098.46218498,1907428.3592062737,38412624.76789744,119400625.90833192,1135628.7908835015,120536254.69921541,11215401.568621216,7258.251261354721,11222659.819882572,0,-0,0,119400625.90833157,1135628.7908835015,120536254.69921507
2039,1670287.2857060893,1189984.6274330346,1146063.560731432,3569953.8822991042,7576289.35616966,0.13702273318692126,0.1295763367217045,10447711.262577457,2869174.7999259746,1569052.7606303263,1644987.4389792397,105.73248407643312,2860271.913139124,4716017.443030536,0.13392474194955858,8878658.501947131,1224187.360946735,923836.3596787356,78584.55565635723,0,3393.0899610113265,2520022.9842765536,4882.978652609755,23573292.671832334,45660.393589146755,6536023.779886536,44215936.27926484,1969419.7808804775,39016850.84646609,116608574.65918913,1348432.3101922388,117957006.96938138,11025466.545043567,8276.068613621082,11033742.613657188,0,0,0,116608574.65918875,1348432.3101922383,117957006.96938099
2040,1643523.4944024463,1257528.0852613216,1135088.9430969711,3772584.2557839653,7808724.778544704,0.13682145475226412,0.129640566533896,10514859.16625432,3137028.8523993143,1445311.9664977458,1728123.9384076055,105.73248407643312,2901051.579663768,4907673.198880937,0.13370873222260587,9069547.199756574,1408904.9139917088,728550.101068107,101372.59829715213,0,3587.493010320077,2562991.8240887597,7811.594351642631,23479743.50238127,71294.52410220976,6247048.308060682,40931355.7019149,2033425.923759093,39597553.92942022,113806750.43454106,1581572.0363910708,115388322.47093213,10843466.055908537,11399.08736196271,10854865.1432705,-0,0,0,113806750.43454067,1581572.0363910703,115388322.47093174
2041,1372801.571320348,1415233.0461758329,1001759.2767894396,4245699.138527499,8035493.032813119,0.13365231925026005,0.1298443321303232,8871233.076114362,3570653.5016322797,1317278.5928294274,1965237.2574560905,105.73248407643312,2788034.617496181,5247458.415316938,0.13171934855551798,7553954.483284934,1605416.2441761892,812786.9285460406,128268.17946471073,0,5579.233092063361,2771154.0176982204,11154.491861880637,24594429.98291522,100145.86763999164,5945321.158054241,37728435.37588895,2099512.2662812634,40151077.77641011,110840684.54704526,1833830.2912808915,112674514.83832616,10815987.442033725,16733.724953943998,10832721.166987669,0,0,0,110840684.54704483,1833830.291280891,112674514.83832572
