entry_year,entry_age,yos,term_age,tier_at_term_age,salary,fas,db_benefit,pvfb_db_wealth_at_term_age,pvfb_db_wealth_at_current_age,pvfs_at_current_age,indv_norm_cost,pvfnc_db,separation_rate,remaining_prob
1980,25,20,45,tier_1_vested,50614.77667147448,46031.093499700306,24856.790489838164,126657.86191344763,418093.5392624777,503128.85269042087,0.15603181719999237,78504.10917103363,0.015,0.2243146690931592
1980,25,21,46,tier_1_vested,52259.756913297395,47527.104038440564,26947.8679897958,146664.65281423432,450665.8239602542,493628.1311159439,0.15603181719999237,77021.69431905683,0.0125,0.2209499490567618
1980,25,22,47,tier_1_vested,53958.19901297955,49071.73491968989,29148.610542295788,169457.7049404948,484802.240864643,480447.0470758629,0.15603181719999237,74965.02582361716,0.0125,0.21818807469355228
1980,25,23,48,tier_1_vested,55711.840480901395,50666.56630457981,31463.937675144058,195403.37393966585,521358.4291932437,464484.8609792062,0.15603181719999237,72474.41692047137,0.0115,0.2154607237598829
1980,25,24,49,tier_1_vested,57522.47529653068,52313.22970947865,33898.97285174216,224913.5544890446,560144.6009838814,445011.134227528,0.15603181719999237,69435.89594775092,0.0115,0.21298292543664424
1980,25,25,50,tier_1_vested,59391.95574366793,54013.4096750367,36459.05153064978,258453.8981782542,601620.707557665,422159.2361398499,0.15603181719999237,65870.27276266147,0.01,0.21053362179412285
1980,25,26,51,tier_1_vested,61322.194305337136,55768.84548947539,39149.729533611724,296547.98614239733,645417.9950531356,395001.9689066182,0.15603181719999237,61632.87500607452,0.01,0.20842828557618162
1980,25,27,52,tier_1_vested,63315.1656202606,57581.33296788334,41976.79173358696,339787.4699377493,692184.9757801194,363782.7338565903,0.15603181719999237,56761.681029624975,0.009000000000000001,0.2063440027204198
1980,25,28,53,tier_1_vested,65372.90850291906,59452.72628933955,44946.2610747407,388835.8502301502,741737.4838600565,327791.1315890226,0.15603181719999237,51145.845923877016,0.006500000000000001,0.20448690669593603
1980,25,29,54,tier_1_vested,67497.52802926392,61384.93989374308,48064.40793680084,444447.63983667264,793704.0620228907,286240.79406398383,0.15603181719999237,44662.67125457219,0.005,0.20315774180241244
1980,25,30,55,tier_1_norm,69691.197690215,63379.95044028973,51337.75985663468,937157.5002490443,846428.5896253057,239116.98415779576,0.15603181719999237,37309.85756152266,0.135,0.20214195309340038
1980,25,31,56,tier_1_norm,71956.161615147,65439.798829599145,54773.11162037448,984133.8616580056,890498.5361923358,214389.16116318284,0.15603181719999237,33451.53040427345,0.15,0.17485278942579133
