year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new
2032,52343975251.643135,24542948107.121807,6572372279.769228,9594260490.0523,11634394374.699802,0,0,0,0,0,0,259759455999.24756,256188110746.98148,3571345252.266117,230363391072.7392,226791283062.43982,3572108010.299288,230599048510.3676,227027876742.31708,3571171768.0504904,0.067,29396064926.50843,29396827684.541595,-762758.0331711364,29160407488.87998,29160234004.664345,173484.21562658303,0.8868335136696871,0.8877407277563577,0.10927371409719601,0.10865590276769425,0.11158078234508381,0,0,0,0,0,0,0,0,0,0,0,0,2666736183.1599927,733350440.8397925,0,736288443.2136542,197171168.3930768,0,1930447739.9463387,536179272.44671595,0,3495821310.1152406,-45939.06135248738,682307259.0239555,834325205.3198442,7479034847.790742,5962402383.446942,1516632464.3437996,16773493008.146156,16773213338.490984,279669.6551725745,41017918.479167745,0,41017918.479167745,0,0,0,0,0,0,0.14288243894040062,5899918200.207696,57493825218.49714,23003505448.291424,80497330666.78857,-10610655845.215754,14570299898.65066,14629448318.619959,226732134642.47052,0,217467162666.42773,0,692006913.6441,202591084.480452,202357023.91825318,3572342070.861487,0,3023747529.5589848,0
2033,54045154447.32154,23892910909.233532,7486162859.878836,9398381359.009827,13267699319.199345,0,0,0,0,0,0,262650322678.88156,258023159434.4619,4627163244.419582,235055111226.51395,230427049305.9017,4628061920.612179,235260806025.8314,230633886694.09067,4626919331.740743,0.067,27595211452.367588,27596110128.56019,-898676.1925960269,27389516653.05012,27389272740.371284,243912.6788394677,0.8949355509221828,0.8957187016802686,0.10903385841386315,0.10823729724166735,0.11157617087450021,0,0,0,0,0,0,0,0,0,0,0,0,2586104100.0513864,835277386.4481782,0,716787327.2770058,224584885.79636508,0,1869316772.7743812,610692500.651813,0,3605858935.6465387,-56928.822091410126,669293472.1712823,951045634.4889042,7706150386.910828,6085811280.250642,1620339106.660187,17427722486.99291,17426563005.479084,1159481.513819368,43632025.12949307,0,43632025.12949307,0,0,0,0,0,0,0.14258725811251227,5936602314.441139,63430427532.938286,21100116113.760834,84530543646.6991,-11234599969.781158,14818656866.195799,14870366213.243042,230375339958.85446,0,221173983077.54926,0,790428950.9827745,265810606.54797524,265524959.3301165,4628347567.830038,0,3967322485.790675,0
2034,55801621966.85948,22616953158.180016,8661036555.142149,9062298910.202705,15461333343.33461,0,0,0,0,0,0,265426690207.79547,259546223341.6181,5880466866.17733,239864399955.90863,233982891968.60837,5881507987.3002205,240044598688.76566,234164462732.3404,5880135956.425263,0.067,25562290251.886814,25563331373.009705,-1041121.1228914312,25382091519.029797,25381760609.277725,330909.7520650277,0.9036935952753101,0.9043724973582767,0.10884100629373585,0.10800466611177989,0.11102497891631664,0,0,0,0,0,0,0,0,0,0,0,0,2442736474.314998,961591400.9281049,0,678508594.7454007,259831096.65426445,0,1764227879.5695972,701760304.2738403,0,3719993862.0228944,-68400.64897982271,646795076.5349007,1106056250.8138812,7938764972.566136,6185913645.217353,1752851327.348782,17706961651.126514,17704251702.29992,2709948.8265938032,45693626.46388543,0,45693626.46388543,0,0,0,0,0,0,0.1422676383364082,5972462961.764698,69402890494.70297,19095363323.311237,88498253818.01419,-11541521365.962025,15051971337.735687,15097364028.66869,233937499277.67535,0,224656288622.9207,0,913119424.9886459,340669649.41813564,340326641.6993958,5881850995.01896,0,5084621633.106502,0
2035,57615174680.78242,22132117788.919125,9550704132.882147,8902196160.082985,17030156598.898163,0,0,0,0,0,0,268156407044.62903,260840381897.07495,7316025147.554064,244879920258.41937,237562722507.752,7317197750.667336,245038402026.87888,237722813491.49615,7315588535.382765,0.067,23276486786.20959,23277659389.32287,-1172603.1132724476,23118005017.75011,23117568405.578808,436612.1712999382,0.9131980956832564,0.9137891006501193,0.10862447882567101,0.10750203615122163,0.1112255470963019,0,0,0,0,0,0,0,0,0,0,0,0,2379247726.647479,1062282292.3347285,0,663963533.6675736,286521123.9864644,0,1715284192.9799056,775761168.3482643,0,3838272521.4471364,-80866.35964501507,636220052.4259752,1218606330.0015886,8184063398.843226,6329237016.415662,1854826382.4275632,17967583950.009354,17961154470.338593,6429479.67076079,47517440.21903573,0,47517440.21903573,0,0,0,0,0,0,0.1420470118191454,6012700182.569788,75415590677.27277,16984427687.90409,92400018365.17686,-11743634222.243977,15283442015.451588,15323464761.387623,237522699761.81598,0,228111074857.4864,0,1008254506.0852872,427837561.1029719,427435257.28182876,7317600054.48848,0,6385635240.342864,0
2036,59487667857.90784,21787152623.75672,10389026154.280582,8808222287.24833,18503266792.622208,0,0,0,0,0,0,270410469238.37732,261469991588.82156,8940477649.55576,250176812774.33386,241235046623.15637,8941766151.177427,250316777977.20532,241376862491.30304,8939915485.902258,0.067,20233656464.043427,20234944965.665092,-1288501.6216684163,20093691261.171967,20093129097.518463,562163.6535016912,0.9251742858882926,0.925691888639642,0.10845452308054199,0.10704876901792995,0.11140257401994356,0,0,0,0,0,0,0,0,0,0,0,0,2332287868.7789197,1157364255.1473722,0,653614578.7127016,311670784.62841743,0,1678673290.066218,845693470.5189549,0,4427402827.392013,-93226.02404387301,630237762.6258899,1324345022.9812157,8906259147.560247,6951676361.953142,1954582785.6071057,18652944016.823,18641482916.4435,11461100.379498739,47813975.63868149,0,47813975.63868149,0,0,0,0,0,0,0.14971605827335047,6389927560.373773,81805518237.64656,14416516457.9314,96222034695.57794,-11881792220.27257,15518662368.640255,15554116335.676928,241199592656.1197,0,231621826397.61572,0,1097995953.105148,527035113.723734,526572447.40494275,8942228817.49622,0,7866195727.219911,0
2037,61421017063.28983,20251498066.068214,11822690294.829105,8355793494.935058,20991035207.457462,0,0,0,0,0,0,272379223156.85608,261545593752.27643,10833629404.57972,255534806807.40097,244699761907.73877,10835044899.662169,255659088125.3487,244826167225.25067,10832920900.097986,0.067,16844416349.45514,16845831844.537592,-1415495.0824512935,16720135031.507431,16719426527.025705,708504.481729202,0.9381582186988071,0.9386144991614185,0.10801976630861333,0.10578745885373189,0.11184356351365166,0,0,0,0,0,0,0,0,0,0,0,0,2142354518.3906221,1322291812.891952,0,607544941.9820464,354680708.8448731,0,1534809576.4085758,967611104.047079,0,4569350498.06015,-105208.51476577579,598854797.9681829,1504944367.9977555,9175465135.966978,7071665970.0010395,2103799165.965938,19047059971.92256,19028719209.529655,18340762.392912295,51101365.6931284,0,51101365.6931284,0,0,0,0,0,0,0.14938640834475822,6428782602.248212,88234300839.89474,11714949771.47747,99949250611.37222,-12317014193.07888,15750128148.283337,15781729477.661278,244668160578.3608,0,235076539526.61694,0,1252744476.2911456,641065272.084641,640534272.1935956,10835575899.553213,0,9568138389.323,0
2038,63417200117.846756,19366575862.646893,12935748063.271564,8116375677.912651,22998500514.015656,0,0,0,0,0,0,274061070728.51028,261091199604.83,12969871123.680344,260981174545.55844,248009775732.3346,12971398813.2238,261092180464.1714,248123187857.2713,12968992606.900112,0.067,13079896182.951826,13081423872.495281,-1527689.5434547723,12968890264.338882,12968011747.558647,878516.7802324723,0.9522737901147988,0.9526788309267532,0.10807319628939054,0.10561274711520491,0.11175682365713022,0,0,0,0,0,0,0,0,0,0,0,0,2045357279.0691576,1445658115.180104,0,580997275.8794067,388072441.8981469,0,1464360003.1897511,1057585673.2819568,0,4716185408.3195715,-118632.7287931334,582969625.3821878,1647830143.1590855,9468812220.60376,7238012452.062486,2230799768.5412736,19476196881.09554,19449712261.125423,26484619.97011938,53783980.173313886,0,53783980.173313886,0,0,0,0,0,0,0.14930984343377002,6478824230.3281765,94713125070.22293,8873674810.2613,103586799880.48422,-12688169573.736694,15969830367.09832,15998183398.33252,247981422701.1004,0,238355677120.87042,0,1365270882.3078773,771684582.8346792,771083031.2537549,12972000364.804724,0,11517680340.816107,0
2039,65478259121.67677,18101781001.566246,14221864069.013405,7790286580.915869,25364327470.181263,0,0,0,0,0,0,275728564630.7235,260346783024.36176,15381781606.361746,266819419646.64948,251436008785.09946,15383410861.549953,266919081154.1755,251538373131.68198,15380708022.493553,0.067,8909144984.073975,8910774239.262184,-1629255.1882091935,8809483476.547962,8808409892.679768,1073583.8681950513,0.9676887122812037,0.9680501601698528,0.10824071514622502,0.10567172209780892,0.11151056425540723,0,0,0,0,0,0,0,0,0,0,0,0,1912846371.4729056,1585888087.0993867,0,543053430.0469873,426655922.07040215,0,1369792941.425918,1159232165.0289843,0,4868023575.087348,-131860.7397453381,561275179.4107323,1815301240.6061826,9773493240.81942,7396916820.802505,2376576420.0169153,19605668185.13185,19568497433.688625,37170751.443224475,55016014.24466264,0,55016014.24466264,0,0,0,0,0,0,0.14926318096908406,6530561957.096686,101243687027.3196,5886419137.5644245,107130106164.88403,-12787627487.128374,16188269453.24762,16213860539.893236,251410417698.45383,0,241615961988.77042,0,1493569460.671754,919118297.4184985,918442587.6543989,15384086571.314053,0,13718183543.559677,0
2040,67606302543.13126,17462064738.22293,15286236311.544003,7596221137.428244,27261780355.9361,0,0,0,0,0,0,277429317716.5763,259367743939.45758,18061573777.118717,273130099283.67947,255066820282.84537,18063279000.83397,273220042015.27734,255159763756.49713,18060278258.780235,0.067,4299218432.8968315,4300923656.612089,-1705223.715256435,4209275701.2989407,4207980182.960457,1295518.3384837245,0.9845033738024439,0.9848275743315665,0.10827350787512682,0.10540421509710977,0.11155121307485683,0,0,0,0,0,0,0,0,0,0,0,0,1840575227.7073057,1705198203.9016585,0,523861942.146688,458587089.34632003,0,1316713285.5606182,1246611114.555338,0,5024985135.938623,-145218.39983387053,548428307.0488267,1950950927.6141088,10087543552.317682,7588164317.654748,2499379234.6629357,19727138825.221706,19675078466.470024,52060358.75168046,56543863.253674135,0,56543863.253674135,0,0,0,0,0,0,0.14921010575725632,6582429301.306826,107826116328.62643,2746680554.072359,110572796882.69878,-12809518102.824097,16417093732.157059,16440329600.570007,255043584414.43243,0,245031249733.6874,0,1596448763.4964695,1084169561.3009787,1083419375.7875462,18064029186.3474,0,16181635243.298187,0
2041,69803507375.78304,17007021071.889526,16285659132.412333,7481329896.336079,29029497275.1451,0,0,0,0,0,0,278877935054.15015,257859015049.51288,21018920004.63726,276798158642.1812,255777487669.90384,21020670972.277252,276881093340.17523,255863718616.82434,21017374723.350853,0.067,2079776411.968905,2081527379.608906,-1750967.640001036,1996841713.974903,1995296432.6884975,1545281.286405547,0.9925423414671903,0.9928397285587073,0.10830163475027238,0.10512668857103429,0.11161721296134716,0,0,0,0,0,0,0,0,0,0,0,0,1787891807.745548,1817759883.5983756,0,510210632.15668577,488569773.97236997,0,1277681175.5888627,1329190109.6260061,0,2415026582.9726186,-157763.80987401868,541095732.0211636,2077517932.250661,7640353768.649437,5021740104.377613,2618613664.271825,20141108474.43075,20071682114.59071,69426359.84003738,56858545.99683825,0,56858545.99683825,0,0,0,0,0,0,0.10945515570611726,4868714314.810306,112694830643.43672,1272460952.9381115,113967291596.37483,-15868763723.872547,16557873374.200909,16579431110.931019,255755929933.1737,0,247132438420.9091,0,1691317213.9516263,1266898819.7232554,1266074757.4916568,21021495034.50885,0,18908937607.809784,0
2042,72072121365.49597,15535748126.837936,17793351877.10421,7006593989.524263,31736427372.029568,0,0,0,0,0,0,280280922356.5394,255956973427.34003,24323948929.199463,280663314455.0049,256337577751.519,24325736703.48566,280740286926.1188,256418161608.23917,24322125317.879593,0.067,-382392098.46539146,-380604324.1791876,-1787774.2862039125,-459364569.57932115,-461188180.899189,1823611.3198678861,1.0013643172544546,1.001638943406198,0.10837134658931577,0.10462771308912931,0.11163999139214956,0,0,0,0,0,0,0,0,0,0,0,0,1625469797.6397777,1986449650.397402,0,466072443.8051381,533800556.31312627,0,1159397353.8346395,1452649094.0842757,0,2507529038.91602,-169219.2421294582,508399679.94325566,2271890318.413584,7899696265.949644,5119406267.592806,2780289998.35684,20282849682.255283,20192164348.35879,90685333.89649436,59519990.85592712,0,59519990.85592712,0,0,0,0,0,0,0.10960821072392589,4915993055.346724,117610823698.78348,-285863273.46002215,117324960425.32343,-16059165511.802996,16599109629.238157,16619255593.418169,256317431787.339,0,247747904914.00235,0,1836075106.4028509,1469893471.2070715,1468990624.8055575,24326639549.887177,0,21938708525.478676,0
2043,74414465309.8746,14713447033.774757,18984266989.696533,6764662344.29806,33952088942.105244,0,0,0,0,0,0,281781985191.73773,253825914096.5758,27956071095.16192,282522726323.8955,254564863203.66867,27957863120.226753,282595561043.392,254641622743.52936,27953938299.862686,0.067,-740741132.1578476,-738949107.0930028,-1792025.0648449715,-813575851.6542953,-815708646.9535267,2132795.299231411,1.0026287739141795,1.0028872528919857,0.10876290460257654,0.10538280187497653,0.1113825981877043,0,0,0,0,0,0,0,0,0,0,0,0,1550544273.6582465,2114516982.0014675,0,441403411.01324266,569528009.6908959,0,1109140862.6450036,1544988972.3105717,0,313295599.70238256,-181035.64358350815,492598376.0981292,2428066019.7990303,5887908794.911535,2967244399.0143747,2920664395.89716,20329759314.89968,20215578762.733925,114180552.16575602,61806809.094329655,0,61806809.094329655,0,0,0,0,0,0,0.0791231754524241,3578178357.947993,121189002056.73146,-494423335.4046453,120694578721.3268,-18351738889.3733,16559834456.557768,16579024341.522957,254545673318.7035,0,247161708306.83237,0,1938348585.0977983,1694759036.7343156,1693777831.6432943,27958844325.317772,0,25294910996.03456,0
